stringa cercata;thread per blocco;ripetizione;dimensione file;throughput
abracadabra;32;1;7000;48933546666,67
abracadabra;32;2;7000;48609483443,71
abracadabra;32;3;7000;47974065359,48
abracadabra;32;4;7000;47974065359,48
abracadabra;32;5;7000;40552662983,43
abracadabra;32;6;7000;34622792452,83
abracadabra;32;7;7000;43690666666,67
abracadabra;32;8;7000;48933546666,67
abracadabra;32;9;7000;49594810810,81
abracadabra;32;10;7000;51328895104,90
abracadabra;32;11;7000;48933546666,67
abracadabra;32;12;7000;45590260869,57
abracadabra;32;13;7000;44756292682,93
abracadabra;32;14;7000;52056964539,01
abracadabra;32;15;7000;51690366197,18
abracadabra;32;16;7000;51690366197,18
abracadabra;32;17;7000;51690366197,18
abracadabra;32;18;7000;51328895104,90
abracadabra;32;19;7000;48609483443,71
abracadabra;32;20;7000;49932190476,19
abracadabra;32;21;7000;50972444444,44
abracadabra;32;22;7000;51690366197,18
abracadabra;32;23;7000;51690366197,18
abracadabra;32;24;7000;51690366197,18
abracadabra;32;25;7000;51690366197,18
abracadabra;32;26;7000;51690366197,18
abracadabra;32;27;7000;51690366197,18
abracadabra;32;28;7000;51690366197,18
abracadabra;32;29;7000;51690366197,18
abracadabra;32;30;7000;51690366197,18
abracadabra;64;1;7000;91750400000,00
abracadabra;64;2;7000;90617679012,35
abracadabra;64;3;7000;89512585365,85
abracadabra;64;4;7000;88434120481,93
abracadabra;64;5;7000;86353317647,06
abracadabra;64;6;7000;87381333333,33
abracadabra;64;7;7000;91750400000,00
abracadabra;64;8;7000;90617679012,35
abracadabra;64;9;7000;91750400000,00
abracadabra;64;10;7000;91750400000,00
abracadabra;64;11;7000;89512585365,85
abracadabra;64;12;7000;88434120481,93
abracadabra;64;13;7000;86353317647,06
abracadabra;64;14;7000;83409454545,45
abracadabra;64;15;7000;83409454545,45
abracadabra;64;16;7000;86353317647,06
abracadabra;64;17;7000;88434120481,93
abracadabra;64;18;7000;88434120481,93
abracadabra;64;19;7000;88434120481,93
abracadabra;64;20;7000;88434120481,93
abracadabra;64;21;7000;88434120481,93
abracadabra;64;22;7000;87381333333,33
abracadabra;64;23;7000;88434120481,93
abracadabra;64;24;7000;85349209302,33
abracadabra;64;25;7000;87381333333,33
abracadabra;64;26;7000;86353317647,06
abracadabra;64;27;7000;87381333333,33
abracadabra;64;28;7000;89512585365,85
abracadabra;64;29;7000;88434120481,93
abracadabra;64;30;7000;89512585365,85
abracadabra;96;1;7000;87381333333,33
abracadabra;96;2;7000;86353317647,06
abracadabra;96;3;7000;85349209302,33
abracadabra;96;4;7000;85349209302,33
abracadabra;96;5;7000;87381333333,33
abracadabra;96;6;7000;85349209302,33
abracadabra;96;7;7000;87381333333,33
abracadabra;96;8;7000;88434120481,93
abracadabra;96;9;7000;88434120481,93
abracadabra;96;10;7000;87381333333,33
abracadabra;96;11;7000;86353317647,06
abracadabra;96;12;7000;87381333333,33
abracadabra;96;13;7000;88434120481,93
abracadabra;96;14;7000;87381333333,33
abracadabra;96;15;7000;85349209302,33
abracadabra;96;16;7000;84368183908,05
abracadabra;96;17;7000;84368183908,05
abracadabra;96;18;7000;85349209302,33
abracadabra;96;19;7000;86353317647,06
abracadabra;96;20;7000;86353317647,06
abracadabra;96;21;7000;84368183908,05
abracadabra;96;22;7000;79782956521,74
abracadabra;96;23;7000;82472269662,92
abracadabra;96;24;7000;83409454545,45
abracadabra;96;25;7000;82472269662,92
abracadabra;96;26;7000;84368183908,05
abracadabra;96;27;7000;84368183908,05
abracadabra;96;28;7000;87381333333,33
abracadabra;96;29;7000;88434120481,93
abracadabra;96;30;7000;87381333333,33
abracadabra;128;1;7000;87381333333,33
abracadabra;128;2;7000;85349209302,33
abracadabra;128;3;7000;83409454545,45
abracadabra;128;4;7000;86353317647,06
abracadabra;128;5;7000;87381333333,33
abracadabra;128;6;7000;85349209302,33
abracadabra;128;7;7000;87381333333,33
abracadabra;128;8;7000;88434120481,93
abracadabra;128;9;7000;88434120481,93
abracadabra;128;10;7000;90617679012,35
abracadabra;128;11;7000;90617679012,35
abracadabra;128;12;7000;90617679012,35
abracadabra;128;13;7000;89512585365,85
abracadabra;128;14;7000;90617679012,35
abracadabra;128;15;7000;90617679012,35
abracadabra;128;16;7000;90617679012,35
abracadabra;128;17;7000;88434120481,93
abracadabra;128;18;7000;87381333333,33
abracadabra;128;19;7000;85349209302,33
abracadabra;128;20;7000;85349209302,33
abracadabra;128;21;7000;83409454545,45
abracadabra;128;22;7000;82472269662,92
abracadabra;128;23;7000;86353317647,06
abracadabra;128;24;7000;86353317647,06
abracadabra;128;25;7000;87381333333,33
abracadabra;128;26;7000;86353317647,06
abracadabra;128;27;7000;86353317647,06
abracadabra;128;28;7000;90617679012,35
abracadabra;128;29;7000;90617679012,35
abracadabra;128;30;7000;88434120481,93
abracadabra;160;1;7000;84368183908,05
abracadabra;160;2;7000;78085446808,51
abracadabra;160;3;7000;85349209302,33
abracadabra;160;4;7000;85349209302,33
abracadabra;160;5;7000;85349209302,33
abracadabra;160;6;7000;85349209302,33
abracadabra;160;7;7000;83409454545,45
abracadabra;160;8;7000;83409454545,45
abracadabra;160;9;7000;85349209302,33
abracadabra;160;10;7000;85349209302,33
abracadabra;160;11;7000;85349209302,33
abracadabra;160;12;7000;85349209302,33
abracadabra;160;13;7000;80659692307,69
abracadabra;160;14;7000;78925075268,82
abracadabra;160;15;7000;77263494736,84
abracadabra;160;16;7000;78925075268,82
abracadabra;160;17;7000;72673584158,42
abracadabra;160;18;7000;78085446808,51
abracadabra;160;19;7000;81555911111,11
abracadabra;160;20;7000;82472269662,92
abracadabra;160;21;7000;82472269662,92
abracadabra;160;22;7000;81555911111,11
abracadabra;160;23;7000;81555911111,11
abracadabra;160;24;7000;80659692307,69
abracadabra;160;25;7000;80659692307,69
abracadabra;160;26;7000;78085446808,51
abracadabra;160;27;7000;77263494736,84
abracadabra;160;28;7000;78085446808,51
abracadabra;160;29;7000;80659692307,69
abracadabra;160;30;7000;81555911111,11
abracadabra;192;1;7000;85349209302,33
abracadabra;192;2;7000;84368183908,05
abracadabra;192;3;7000;84368183908,05
abracadabra;192;4;7000;83409454545,45
abracadabra;192;5;7000;83409454545,45
abracadabra;192;6;7000;81555911111,11
abracadabra;192;7;7000;83409454545,45
abracadabra;192;8;7000;86353317647,06
abracadabra;192;9;7000;86353317647,06
abracadabra;192;10;7000;85349209302,33
abracadabra;192;11;7000;86353317647,06
abracadabra;192;12;7000;85349209302,33
abracadabra;192;13;7000;84368183908,05
abracadabra;192;14;7000;86353317647,06
abracadabra;192;15;7000;86353317647,06
abracadabra;192;16;7000;86353317647,06
abracadabra;192;17;7000;84368183908,05
abracadabra;192;18;7000;83409454545,45
abracadabra;192;19;7000;85349209302,33
abracadabra;192;20;7000;84368183908,05
abracadabra;192;21;7000;84368183908,05
abracadabra;192;22;7000;84368183908,05
abracadabra;192;23;7000;82472269662,92
abracadabra;192;24;7000;79782956521,74
abracadabra;192;25;7000;89512585365,85
abracadabra;192;26;7000;89512585365,85
abracadabra;192;27;7000;88434120481,93
abracadabra;192;28;7000;88434120481,93
abracadabra;192;29;7000;88434120481,93
abracadabra;192;30;7000;89512585365,85
abracadabra;224;1;7000;80659692307,69
abracadabra;224;2;7000;78925075268,82
abracadabra;224;3;7000;78925075268,82
abracadabra;224;4;7000;79782956521,74
abracadabra;224;5;7000;77263494736,84
abracadabra;224;6;7000;77263494736,84
abracadabra;224;7;7000;74898285714,29
abracadabra;224;8;7000;75670432989,69
abracadabra;224;9;7000;75670432989,69
abracadabra;224;10;7000;75670432989,69
abracadabra;224;11;7000;79782956521,74
abracadabra;224;12;7000;79782956521,74
abracadabra;224;13;7000;80659692307,69
abracadabra;224;14;7000;79782956521,74
abracadabra;224;15;7000;78925075268,82
abracadabra;224;16;7000;76458666666,67
abracadabra;224;17;7000;76458666666,67
abracadabra;224;18;7000;74898285714,29
abracadabra;224;19;7000;76458666666,67
abracadabra;224;20;7000;78085446808,51
abracadabra;224;21;7000;79782956521,74
abracadabra;224;22;7000;78925075268,82
abracadabra;224;23;7000;78925075268,82
abracadabra;224;24;7000;78925075268,82
abracadabra;224;25;7000;78085446808,51
abracadabra;224;26;7000;79782956521,74
abracadabra;224;27;7000;78925075268,82
abracadabra;224;28;7000;79782956521,74
abracadabra;224;29;7000;78925075268,82
abracadabra;224;30;7000;78925075268,82
abracadabra;256;1;7000;87381333333,33
abracadabra;256;2;7000;87381333333,33
abracadabra;256;3;7000;86353317647,06
abracadabra;256;4;7000;88434120481,93
abracadabra;256;5;7000;87381333333,33
abracadabra;256;6;7000;88434120481,93
abracadabra;256;7;7000;87381333333,33
abracadabra;256;8;7000;83409454545,45
abracadabra;256;9;7000;87381333333,33
abracadabra;256;10;7000;87381333333,33
abracadabra;256;11;7000;88434120481,93
abracadabra;256;12;7000;87381333333,33
abracadabra;256;13;7000;88434120481,93
abracadabra;256;14;7000;87381333333,33
abracadabra;256;15;7000;85349209302,33
