stringa cercata;thread per blocco;ripetizione;dimensione file;throughput
abracadabra;160;19;3000;74898285714,29
abracadabra;160;20;3000;74898285714,29
abracadabra;160;21;3000;74898285714,29
abracadabra;160;22;3000;74898285714,29
abracadabra;160;23;3000;74898285714,29
abracadabra;160;24;3000;74898285714,29
abracadabra;160;25;3000;76725073170,73
abracadabra;160;26;3000;74898285714,29
abracadabra;160;27;3000;76725073170,73
abracadabra;160;28;3000;76725073170,73
abracadabra;160;29;3000;76725073170,73
abracadabra;160;30;3000;76725073170,73
abracadabra;192;1;3000;80659692307,69
abracadabra;192;2;3000;80659692307,69
abracadabra;192;3;3000;80659692307,69
abracadabra;192;4;3000;80659692307,69
abracadabra;192;5;3000;80659692307,69
abracadabra;192;6;3000;80659692307,69
abracadabra;192;7;3000;80659692307,69
abracadabra;192;8;3000;80659692307,69
abracadabra;192;9;3000;78643200000,00
abracadabra;192;10;3000;78643200000,00
abracadabra;192;11;3000;78643200000,00
abracadabra;192;12;3000;78643200000,00
abracadabra;192;13;3000;78643200000,00
abracadabra;192;14;3000;78643200000,00
abracadabra;192;15;3000;78643200000,00
abracadabra;192;16;3000;78643200000,00
abracadabra;192;17;3000;78643200000,00
abracadabra;192;18;3000;78643200000,00
abracadabra;192;19;3000;80659692307,69
abracadabra;192;20;3000;78643200000,00
abracadabra;192;21;3000;78643200000,00
abracadabra;192;22;3000;78643200000,00
abracadabra;192;23;3000;80659692307,69
abracadabra;192;24;3000;80659692307,69
abracadabra;192;25;3000;80659692307,69
abracadabra;192;26;3000;80659692307,69
abracadabra;192;27;3000;80659692307,69
abracadabra;192;28;3000;80659692307,69
abracadabra;192;29;3000;80659692307,69
abracadabra;192;30;3000;78643200000,00
abracadabra;224;1;3000;69905066666,67
abracadabra;224;2;3000;69905066666,67
abracadabra;224;3;3000;69905066666,67
abracadabra;224;4;3000;69905066666,67
abracadabra;224;5;3000;69905066666,67
abracadabra;224;6;3000;69905066666,67
abracadabra;224;7;3000;69905066666,67
abracadabra;224;8;3000;69905066666,67
abracadabra;224;9;3000;69905066666,67
abracadabra;224;10;3000;69905066666,67
abracadabra;224;11;3000;69905066666,67
abracadabra;224;12;3000;69905066666,67
abracadabra;224;13;3000;69905066666,67
abracadabra;224;14;3000;69905066666,67
abracadabra;224;15;3000;69905066666,67
abracadabra;224;16;3000;69905066666,67
abracadabra;224;17;3000;69905066666,67
abracadabra;224;18;3000;69905066666,67
abracadabra;224;19;3000;69905066666,67
abracadabra;224;20;3000;69905066666,67
abracadabra;224;21;3000;69905066666,67
abracadabra;224;22;3000;69905066666,67
abracadabra;224;23;3000;69905066666,67
abracadabra;224;24;3000;69905066666,67
abracadabra;224;25;3000;69905066666,67
abracadabra;224;26;3000;69905066666,67
abracadabra;224;27;3000;69905066666,67
abracadabra;224;28;3000;69905066666,67
abracadabra;224;29;3000;69905066666,67
abracadabra;224;30;3000;69905066666,67
abracadabra;256;1;3000;78643200000,00
abracadabra;256;2;3000;76725073170,73
abracadabra;256;3;3000;76725073170,73
abracadabra;256;4;3000;76725073170,73
abracadabra;256;5;3000;76725073170,73
abracadabra;256;6;3000;76725073170,73
abracadabra;256;7;3000;78643200000,00
abracadabra;256;8;3000;78643200000,00
abracadabra;256;9;3000;76725073170,73
abracadabra;256;10;3000;78643200000,00
abracadabra;256;11;3000;78643200000,00
abracadabra;256;12;3000;78643200000,00
abracadabra;256;13;3000;78643200000,00
abracadabra;256;14;3000;76725073170,73
abracadabra;256;15;3000;78643200000,00
abracadabra;256;16;3000;78643200000,00
abracadabra;256;17;3000;76725073170,73
abracadabra;256;18;3000;78643200000,00
abracadabra;256;19;3000;78643200000,00
abracadabra;256;20;3000;78643200000,00
abracadabra;256;21;3000;73156465116,28
abracadabra;256;22;3000;76725073170,73
abracadabra;256;23;3000;76725073170,73
abracadabra;256;24;3000;78643200000,00
abracadabra;256;25;3000;76725073170,73
abracadabra;256;26;3000;78643200000,00
abracadabra;256;27;3000;78643200000,00
abracadabra;256;28;3000;78643200000,00
abracadabra;256;29;3000;76725073170,73
abracadabra;256;30;3000;78643200000,00
unevenstring;32;1;3000;46951164179,10
unevenstring;32;2;3000;47662545454,55
unevenstring;32;3;3000;47662545454,55
unevenstring;32;4;3000;47662545454,55
unevenstring;32;5;3000;47662545454,55
unevenstring;32;6;3000;47662545454,55
unevenstring;32;7;3000;47662545454,55
unevenstring;32;8;3000;46951164179,10
unevenstring;32;9;3000;47662545454,55
unevenstring;32;10;3000;46951164179,10
unevenstring;32;11;3000;46951164179,10
unevenstring;32;12;3000;47662545454,55
unevenstring;32;13;3000;46951164179,10
unevenstring;32;14;3000;46260705882,35
unevenstring;32;15;3000;46951164179,10
unevenstring;32;16;3000;48395815384,62
unevenstring;32;17;3000;47662545454,55
unevenstring;32;18;3000;47662545454,55
unevenstring;32;19;3000;47662545454,55
unevenstring;32;20;3000;47662545454,55
unevenstring;32;21;3000;47662545454,55
unevenstring;32;22;3000;47662545454,55
unevenstring;32;23;3000;47662545454,55
unevenstring;32;24;3000;48395815384,62
unevenstring;32;25;3000;47662545454,55
unevenstring;32;26;3000;47662545454,55
unevenstring;32;27;3000;46951164179,10
unevenstring;32;28;3000;46951164179,10
unevenstring;32;29;3000;44306028169,01
unevenstring;32;30;3000;49152000000,00
unevenstring;64;1;3000;89877942857,14
unevenstring;64;2;3000;87381333333,33
unevenstring;64;3;3000;87381333333,33
unevenstring;64;4;3000;85019675675,68
unevenstring;64;5;3000;85019675675,68
unevenstring;64;6;3000;85019675675,68
unevenstring;64;7;3000;85019675675,68
unevenstring;64;8;3000;82782315789,47
unevenstring;64;9;3000;80659692307,69
unevenstring;64;10;3000;82782315789,47
unevenstring;64;11;3000;82782315789,47
unevenstring;64;12;3000;85019675675,68
unevenstring;64;13;3000;82782315789,47
unevenstring;64;14;3000;85019675675,68
unevenstring;64;15;3000;85019675675,68
unevenstring;64;16;3000;85019675675,68
unevenstring;64;17;3000;85019675675,68
unevenstring;64;18;3000;85019675675,68
unevenstring;64;19;3000;82782315789,47
unevenstring;64;20;3000;76725073170,73
unevenstring;64;21;3000;76725073170,73
unevenstring;64;22;3000;80659692307,69
unevenstring;64;23;3000;85019675675,68
unevenstring;64;24;3000;85019675675,68
unevenstring;64;25;3000;87381333333,33
unevenstring;64;26;3000;87381333333,33
unevenstring;64;27;3000;87381333333,33
unevenstring;64;28;3000;85019675675,68
unevenstring;64;29;3000;85019675675,68
unevenstring;64;30;3000;85019675675,68
