stringa cercata;thread per blocco;ripetizione;dimensione file;throughput
abracadabra;96;4;7000;152917333333,33
abracadabra;96;5;7000;152917333333,33
abracadabra;96;6;7000;149796571428,57
abracadabra;96;7;7000;149796571428,57
abracadabra;96;8;7000;143922196078,43
abracadabra;96;9;7000;149796571428,57
abracadabra;96;10;7000;156170893617,02
abracadabra;96;11;7000;149796571428,57
abracadabra;96;12;7000;146800640000,00
abracadabra;96;13;7000;146800640000,00
abracadabra;96;14;7000;135926518518,52
abracadabra;96;15;7000;128772491228,07
abracadabra;96;16;7000;135926518518,52
abracadabra;96;17;7000;138491169811,32
abracadabra;96;18;7000;149796571428,57
abracadabra;96;19;7000;163111822222,22
abracadabra;96;20;7000;159565913043,48
abracadabra;96;21;7000;159565913043,48
abracadabra;96;22;7000;163111822222,22
abracadabra;96;23;7000;159565913043,48
abracadabra;96;24;7000;159565913043,48
abracadabra;96;25;7000;159565913043,48
abracadabra;96;26;7000;159565913043,48
abracadabra;96;27;7000;159565913043,48
abracadabra;96;28;7000;163111822222,22
abracadabra;96;29;7000;163111822222,22
abracadabra;96;30;7000;156170893617,02
abracadabra;128;1;7000;156170893617,02
abracadabra;128;2;7000;156170893617,02
abracadabra;128;3;7000;156170893617,02
abracadabra;128;4;7000;152917333333,33
abracadabra;128;5;7000;143922196078,43
abracadabra;128;6;7000;138491169811,32
abracadabra;128;7;7000;152917333333,33
abracadabra;128;8;7000;156170893617,02
abracadabra;128;9;7000;166818909090,91
abracadabra;128;10;7000;166818909090,91
abracadabra;128;11;7000;163111822222,22
abracadabra;128;12;7000;166818909090,91
abracadabra;128;13;7000;166818909090,91
abracadabra;128;14;7000;166818909090,91
abracadabra;128;15;7000;166818909090,91
abracadabra;128;16;7000;166818909090,91
abracadabra;128;17;7000;163111822222,22
abracadabra;128;18;7000;159565913043,48
abracadabra;128;19;7000;159565913043,48
abracadabra;128;20;7000;156170893617,02
abracadabra;128;21;7000;152917333333,33
abracadabra;128;22;7000;156170893617,02
abracadabra;128;23;7000;149796571428,57
abracadabra;128;24;7000;149796571428,57
abracadabra;128;25;7000;143922196078,43
abracadabra;128;26;7000;135926518518,52
abracadabra;128;27;7000;146800640000,00
abracadabra;128;28;7000;152917333333,33
abracadabra;128;29;7000;159565913043,48
abracadabra;128;30;7000;159565913043,48
abracadabra;160;1;7000;156170893617,02
abracadabra;160;2;7000;152917333333,33
abracadabra;160;3;7000;159565913043,48
abracadabra;160;4;7000;156170893617,02
abracadabra;160;5;7000;159565913043,48
abracadabra;160;6;7000;159565913043,48
abracadabra;160;7;7000;156170893617,02
abracadabra;160;8;7000;156170893617,02
abracadabra;160;9;7000;152917333333,33
abracadabra;160;10;7000;152917333333,33
abracadabra;160;11;7000;146800640000,00
abracadabra;160;12;7000;146800640000,00
abracadabra;160;13;7000;143922196078,43
abracadabra;160;14;7000;143922196078,43
abracadabra;160;15;7000;143922196078,43
abracadabra;160;16;7000;146800640000,00
abracadabra;160;17;7000;156170893617,02
abracadabra;160;18;7000;152917333333,33
abracadabra;160;19;7000;152917333333,33
abracadabra;160;20;7000;152917333333,33
abracadabra;160;21;7000;156170893617,02
abracadabra;160;22;7000;149796571428,57
abracadabra;160;23;7000;152917333333,33
abracadabra;160;24;7000;152917333333,33
abracadabra;160;25;7000;156170893617,02
abracadabra;160;26;7000;163111822222,22
abracadabra;160;27;7000;156170893617,02
abracadabra;160;28;7000;156170893617,02
abracadabra;160;29;7000;156170893617,02
abracadabra;160;30;7000;159565913043,48
abracadabra;192;1;7000;163111822222,22
abracadabra;192;2;7000;159565913043,48
abracadabra;192;3;7000;152917333333,33
abracadabra;192;4;7000;156170893617,02
abracadabra;192;5;7000;152917333333,33
abracadabra;192;6;7000;156170893617,02
abracadabra;192;7;7000;166818909090,91
abracadabra;192;8;7000;163111822222,22
abracadabra;192;9;7000;166818909090,91
abracadabra;192;10;7000;166818909090,91
abracadabra;192;11;7000;170698418604,65
abracadabra;192;12;7000;163111822222,22
abracadabra;192;13;7000;166818909090,91
abracadabra;192;14;7000;163111822222,22
abracadabra;192;15;7000;163111822222,22
abracadabra;192;16;7000;166818909090,91
abracadabra;192;17;7000;170698418604,65
abracadabra;192;18;7000;166818909090,91
abracadabra;192;19;7000;166818909090,91
abracadabra;192;20;7000;163111822222,22
abracadabra;192;21;7000;163111822222,22
abracadabra;192;22;7000;166818909090,91
abracadabra;192;23;7000;163111822222,22
abracadabra;192;24;7000;163111822222,22
abracadabra;192;25;7000;159565913043,48
abracadabra;192;26;7000;163111822222,22
abracadabra;192;27;7000;166818909090,91
abracadabra;192;28;7000;166818909090,91
abracadabra;192;29;7000;170698418604,65
abracadabra;192;30;7000;163111822222,22
abracadabra;224;1;7000;163111822222,22
abracadabra;224;2;7000;156170893617,02
abracadabra;224;3;7000;159565913043,48
abracadabra;224;4;7000;156170893617,02
abracadabra;224;5;7000;159565913043,48
abracadabra;224;6;7000;163111822222,22
abracadabra;224;7;7000;159565913043,48
abracadabra;224;8;7000;166818909090,91
abracadabra;224;9;7000;166818909090,91
abracadabra;224;10;7000;163111822222,22
abracadabra;224;11;7000;159565913043,48
abracadabra;224;12;7000;159565913043,48
abracadabra;224;13;7000;152917333333,33
abracadabra;224;14;7000;159565913043,48
abracadabra;224;15;7000;149796571428,57
abracadabra;224;16;7000;156170893617,02
abracadabra;224;17;7000;163111822222,22
abracadabra;224;18;7000;156170893617,02
abracadabra;224;19;7000;152917333333,33
abracadabra;224;20;7000;149796571428,57
abracadabra;224;21;7000;156170893617,02
abracadabra;224;22;7000;156170893617,02
abracadabra;224;23;7000;159565913043,48
abracadabra;224;24;7000;152917333333,33
abracadabra;224;25;7000;152917333333,33
abracadabra;224;26;7000;156170893617,02
abracadabra;224;27;7000;156170893617,02
abracadabra;224;28;7000;152917333333,33
abracadabra;224;29;7000;152917333333,33
abracadabra;224;30;7000;156170893617,02
abracadabra;256;1;7000;156170893617,02
abracadabra;256;2;7000;156170893617,02
abracadabra;256;3;7000;149796571428,57
abracadabra;256;4;7000;152917333333,33
abracadabra;256;5;7000;156170893617,02
abracadabra;256;6;7000;152917333333,33
abracadabra;256;7;7000;149796571428,57
abracadabra;256;8;7000;152917333333,33
abracadabra;256;9;7000;149796571428,57
abracadabra;256;10;7000;156170893617,02
abracadabra;256;11;7000;152917333333,33
abracadabra;256;12;7000;156170893617,02
abracadabra;256;13;7000;166818909090,91
abracadabra;256;14;7000;163111822222,22
abracadabra;256;15;7000;163111822222,22
abracadabra;256;16;7000;156170893617,02
abracadabra;256;17;7000;159565913043,48
abracadabra;256;18;7000;156170893617,02
abracadabra;256;19;7000;152917333333,33
abracadabra;256;20;7000;159565913043,48
abracadabra;256;21;7000;156170893617,02
abracadabra;256;22;7000;156170893617,02
abracadabra;256;23;7000;156170893617,02
abracadabra;256;24;7000;152917333333,33
abracadabra;256;25;7000;149796571428,57
abracadabra;256;26;7000;152917333333,33
abracadabra;256;27;7000;146800640000,00
abracadabra;256;28;7000;152917333333,33
abracadabra;256;29;7000;152917333333,33
abracadabra;256;30;7000;146800640000,00
abracadabra;288;1;7000;149796571428,57
abracadabra;288;2;7000;149796571428,57
abracadabra;288;3;7000;149796571428,57
abracadabra;288;4;7000;149796571428,57
abracadabra;288;5;7000;152917333333,33
abracadabra;288;6;7000;149796571428,57
abracadabra;288;7;7000;146800640000,00
abracadabra;288;8;7000;149796571428,57
abracadabra;288;9;7000;149796571428,57
abracadabra;288;10;7000;146800640000,00
abracadabra;288;11;7000;149796571428,57
abracadabra;288;12;7000;149796571428,57
abracadabra;288;13;7000;143922196078,43
abracadabra;288;14;7000;146800640000,00
abracadabra;288;15;7000;146800640000,00
abracadabra;288;16;7000;146800640000,00
abracadabra;288;17;7000;146800640000,00
abracadabra;288;18;7000;146800640000,00
abracadabra;288;19;7000;146800640000,00
abracadabra;288;20;7000;149796571428,57
abracadabra;288;21;7000;149796571428,57
abracadabra;288;22;7000;152917333333,33
abracadabra;288;23;7000;152917333333,33
abracadabra;288;24;7000;152917333333,33
abracadabra;288;25;7000;152917333333,33
abracadabra;288;26;7000;152917333333,33
abracadabra;288;27;7000;149796571428,57
abracadabra;288;28;7000;149796571428,57
abracadabra;288;29;7000;146800640000,00
abracadabra;288;30;7000;149796571428,57
abracadabra;320;1;7000;149796571428,57
abracadabra;320;2;7000;149796571428,57
abracadabra;320;3;7000;149796571428,57
abracadabra;320;4;7000;146800640000,00
abracadabra;320;5;7000;146800640000,00
abracadabra;320;6;7000;146800640000,00
abracadabra;320;7;7000;146800640000,00
abracadabra;320;8;7000;146800640000,00
abracadabra;320;9;7000;149796571428,57
abracadabra;320;10;7000;149796571428,57
abracadabra;320;11;7000;149796571428,57
abracadabra;320;12;7000;152917333333,33
abracadabra;320;13;7000;152917333333,33
abracadabra;320;14;7000;152917333333,33
abracadabra;320;15;7000;152917333333,33
