stringa cercata;limite shared mem;thread per blocco;blocchi per SM;ripetizione;dimensione file;throughput
unevenstring;96;128;11;25;4000;95325090909,09
unevenstring;96;128;11;26;4000;99864380952,38
unevenstring;96;128;11;27;4000;102300097560,98
unevenstring;96;128;11;28;4000;102300097560,98
unevenstring;96;128;11;29;4000;99864380952,38
unevenstring;96;128;11;30;4000;95325090909,09
unevenstring;96;160;8;1;4000;95325090909,09
unevenstring;96;160;8;2;4000;93206755555,56
unevenstring;96;160;8;3;4000;93206755555,56
unevenstring;96;160;8;4;4000;95325090909,09
unevenstring;96;160;8;5;4000;95325090909,09
unevenstring;96;160;8;6;4000;93206755555,56
unevenstring;96;160;8;7;4000;95325090909,09
unevenstring;96;160;8;8;4000;95325090909,09
unevenstring;96;160;8;9;4000;93206755555,56
unevenstring;96;160;8;10;4000;95325090909,09
unevenstring;96;160;8;11;4000;93206755555,56
unevenstring;96;160;8;12;4000;93206755555,56
unevenstring;96;160;8;13;4000;95325090909,09
unevenstring;96;160;8;14;4000;91180521739,13
unevenstring;96;160;8;15;4000;95325090909,09
unevenstring;96;160;8;16;4000;95325090909,09
unevenstring;96;160;8;17;4000;93206755555,56
unevenstring;96;160;8;18;4000;95325090909,09
unevenstring;96;160;8;19;4000;93206755555,56
unevenstring;96;160;8;20;4000;91180521739,13
unevenstring;96;160;8;21;4000;95325090909,09
unevenstring;96;160;8;22;4000;95325090909,09
unevenstring;96;160;8;23;4000;93206755555,56
unevenstring;96;160;8;24;4000;93206755555,56
unevenstring;96;160;8;25;4000;95325090909,09
unevenstring;96;160;8;26;4000;95325090909,09
unevenstring;96;160;8;27;4000;93206755555,56
unevenstring;96;160;8;28;4000;95325090909,09
unevenstring;96;160;8;29;4000;91180521739,13
unevenstring;96;160;8;30;4000;93206755555,56
unevenstring;96;192;7;1;4000;95325090909,09
unevenstring;96;192;7;2;4000;97541953488,37
unevenstring;96;192;7;3;4000;97541953488,37
unevenstring;96;192;7;4;4000;99864380952,38
unevenstring;96;192;7;5;4000;102300097560,98
unevenstring;96;192;7;6;4000;99864380952,38
unevenstring;96;192;7;7;4000;99864380952,38
unevenstring;96;192;7;8;4000;99864380952,38
unevenstring;96;192;7;9;4000;99864380952,38
unevenstring;96;192;7;10;4000;99864380952,38
unevenstring;96;192;7;11;4000;102300097560,98
unevenstring;96;192;7;12;4000;97541953488,37
unevenstring;96;192;7;13;4000;99864380952,38
unevenstring;96;192;7;14;4000;102300097560,98
unevenstring;96;192;7;15;4000;102300097560,98
unevenstring;96;192;7;16;4000;97541953488,37
unevenstring;96;192;7;17;4000;97541953488,37
unevenstring;96;192;7;18;4000;99864380952,38
unevenstring;96;192;7;19;4000;99864380952,38
unevenstring;96;192;7;20;4000;95325090909,09
unevenstring;96;192;7;21;4000;95325090909,09
unevenstring;96;192;7;22;4000;99864380952,38
unevenstring;96;192;7;23;4000;97541953488,37
unevenstring;96;192;7;24;4000;97541953488,37
unevenstring;96;192;7;25;4000;99864380952,38
unevenstring;96;192;7;26;4000;99864380952,38
unevenstring;96;192;7;27;4000;99864380952,38
unevenstring;96;192;7;28;4000;97541953488,37
unevenstring;96;192;7;29;4000;97541953488,37
unevenstring;96;192;7;30;4000;95325090909,09
unevenstring;96;224;5;1;4000;89240510638,30
unevenstring;96;224;5;2;4000;87381333333,33
unevenstring;96;224;5;3;4000;91180521739,13
unevenstring;96;224;5;4;4000;87381333333,33
unevenstring;96;224;5;5;4000;89240510638,30
unevenstring;96;224;5;6;4000;87381333333,33
unevenstring;96;224;5;7;4000;89240510638,30
unevenstring;96;224;5;8;4000;87381333333,33
unevenstring;96;224;5;9;4000;87381333333,33
unevenstring;96;224;5;10;4000;87381333333,33
unevenstring;96;224;5;11;4000;89240510638,30
unevenstring;96;224;5;12;4000;89240510638,30
unevenstring;96;224;5;13;4000;87381333333,33
unevenstring;96;224;5;14;4000;87381333333,33
unevenstring;96;224;5;15;4000;89240510638,30
unevenstring;96;224;5;16;4000;89240510638,30
unevenstring;96;224;5;17;4000;89240510638,30
unevenstring;96;224;5;18;4000;89240510638,30
unevenstring;96;224;5;19;4000;89240510638,30
unevenstring;96;224;5;20;4000;87381333333,33
unevenstring;96;224;5;21;4000;89240510638,30
unevenstring;96;224;5;22;4000;87381333333,33
unevenstring;96;224;5;23;4000;89240510638,30
unevenstring;96;224;5;24;4000;87381333333,33
unevenstring;96;224;5;25;4000;89240510638,30
unevenstring;96;224;5;26;4000;85598040816,33
unevenstring;96;224;5;27;4000;83886080000,00
unevenstring;96;224;5;28;4000;83886080000,00
unevenstring;96;224;5;29;4000;87381333333,33
unevenstring;96;224;5;30;4000;91180521739,13
unevenstring;96;256;5;1;4000;97541953488,37
unevenstring;96;256;5;2;4000;97541953488,37
unevenstring;96;256;5;3;4000;104857600000,00
unevenstring;96;256;5;4;4000;104857600000,00
unevenstring;96;256;5;5;4000;102300097560,98
unevenstring;96;256;5;6;4000;102300097560,98
unevenstring;96;256;5;7;4000;97541953488,37
unevenstring;96;256;5;8;4000;102300097560,98
unevenstring;96;256;5;9;4000;102300097560,98
unevenstring;96;256;5;10;4000;102300097560,98
unevenstring;96;256;5;11;4000;104857600000,00
unevenstring;96;256;5;12;4000;97541953488,37
unevenstring;96;256;5;13;4000;99864380952,38
unevenstring;96;256;5;14;4000;99864380952,38
unevenstring;96;256;5;15;4000;102300097560,98
unevenstring;96;256;5;16;4000;99864380952,38
unevenstring;96;256;5;17;4000;95325090909,09
unevenstring;96;256;5;18;4000;87381333333,33
unevenstring;96;256;5;19;4000;93206755555,56
unevenstring;96;256;5;20;4000;93206755555,56
unevenstring;96;256;5;21;4000;95325090909,09
unevenstring;96;256;5;22;4000;97541953488,37
unevenstring;96;256;5;23;4000;99864380952,38
unevenstring;96;256;5;24;4000;99864380952,38
unevenstring;96;256;5;25;4000;104857600000,00
unevenstring;96;256;5;26;4000;104857600000,00
unevenstring;96;256;5;27;4000;102300097560,98
unevenstring;96;256;5;28;4000;99864380952,38
unevenstring;96;256;5;29;4000;99864380952,38
unevenstring;96;256;5;30;4000;102300097560,98
unevenstring;96;288;4;1;4000;95325090909,09
unevenstring;96;288;4;2;4000;93206755555,56
unevenstring;96;288;4;3;4000;97541953488,37
unevenstring;96;288;4;4;4000;95325090909,09
unevenstring;96;288;4;5;4000;93206755555,56
unevenstring;96;288;4;6;4000;97541953488,37
unevenstring;96;288;4;7;4000;95325090909,09
unevenstring;96;288;4;8;4000;91180521739,13
unevenstring;96;288;4;9;4000;91180521739,13
unevenstring;96;288;4;10;4000;89240510638,30
unevenstring;96;288;4;11;4000;87381333333,33
unevenstring;96;288;4;12;4000;87381333333,33
unevenstring;96;288;4;13;4000;91180521739,13
unevenstring;96;288;4;14;4000;95325090909,09
unevenstring;96;288;4;15;4000;95325090909,09
unevenstring;96;288;4;16;4000;93206755555,56
unevenstring;96;288;4;17;4000;95325090909,09
unevenstring;96;288;4;18;4000;95325090909,09
unevenstring;96;288;4;19;4000;93206755555,56
unevenstring;96;288;4;20;4000;95325090909,09
unevenstring;96;288;4;21;4000;95325090909,09
unevenstring;96;288;4;22;4000;93206755555,56
unevenstring;96;288;4;23;4000;95325090909,09
unevenstring;96;288;4;24;4000;95325090909,09
unevenstring;96;288;4;25;4000;93206755555,56
unevenstring;96;288;4;26;4000;95325090909,09
unevenstring;96;288;4;27;4000;95325090909,09
unevenstring;96;288;4;28;4000;91180521739,13
unevenstring;96;288;4;29;4000;91180521739,13
unevenstring;96;288;4;30;4000;89240510638,30
