stringa cercata;limite shared mem;thread per blocco;blocchi per SM;ripetizione;dimensione file;throughput
unevenstring;32;96;1;2;7000;49261959731,54
unevenstring;32;96;1;3;7000;49261959731,54
unevenstring;32;96;1;4;7000;49261959731,54
unevenstring;32;96;1;5;7000;49261959731,54
unevenstring;32;96;1;6;7000;49261959731,54
unevenstring;32;96;1;7;7000;49261959731,54
unevenstring;32;96;1;8;7000;49594810810,81
unevenstring;32;96;1;9;7000;49261959731,54
unevenstring;32;96;1;10;7000;49261959731,54
unevenstring;32;96;1;11;7000;49261959731,54
unevenstring;32;96;1;12;7000;49261959731,54
unevenstring;32;96;1;13;7000;49261959731,54
unevenstring;32;96;1;14;7000;49261959731,54
unevenstring;32;96;1;15;7000;49261959731,54
unevenstring;32;96;1;16;7000;49261959731,54
unevenstring;32;96;1;17;7000;49261959731,54
unevenstring;32;96;1;18;7000;49261959731,54
unevenstring;32;96;1;19;7000;49261959731,54
unevenstring;32;96;1;20;7000;49261959731,54
unevenstring;32;96;1;21;7000;49261959731,54
unevenstring;32;96;1;22;7000;49261959731,54
unevenstring;32;96;1;23;7000;49261959731,54
unevenstring;32;96;1;24;7000;49261959731,54
unevenstring;32;96;1;25;7000;49261959731,54
unevenstring;32;96;1;26;7000;49261959731,54
unevenstring;32;96;1;27;7000;49261959731,54
unevenstring;32;96;1;28;7000;49261959731,54
unevenstring;32;96;1;29;7000;49261959731,54
unevenstring;32;96;1;30;7000;49261959731,54
unevenstring;32;128;1;1;7000;49594810810,81
unevenstring;32;128;1;2;7000;49594810810,81
unevenstring;32;128;1;3;7000;49594810810,81
unevenstring;32;128;1;4;7000;49594810810,81
unevenstring;32;128;1;5;7000;49594810810,81
unevenstring;32;128;1;6;7000;49594810810,81
unevenstring;32;128;1;7;7000;49594810810,81
unevenstring;32;128;1;8;7000;49594810810,81
unevenstring;32;128;1;9;7000;49594810810,81
unevenstring;32;128;1;10;7000;49594810810,81
unevenstring;32;128;1;11;7000;49594810810,81
unevenstring;32;128;1;12;7000;49594810810,81
unevenstring;32;128;1;13;7000;49594810810,81
unevenstring;32;128;1;14;7000;49594810810,81
unevenstring;32;128;1;15;7000;49594810810,81
unevenstring;32;128;1;16;7000;49594810810,81
unevenstring;32;128;1;17;7000;49594810810,81
unevenstring;32;128;1;18;7000;49594810810,81
