stringa cercata;thread per blocco;blocchi per SM;ripetizione;dimensione file;throughput
unevenstring;96;4;22;4000;82241254901,96
unevenstring;96;4;23;4000;82241254901,96
unevenstring;96;4;24;4000;82241254901,96
unevenstring;96;4;25;4000;82241254901,96
unevenstring;96;4;26;4000;82241254901,96
unevenstring;96;4;27;4000;82241254901,96
unevenstring;96;4;28;4000;82241254901,96
unevenstring;96;4;29;4000;82241254901,96
unevenstring;96;4;30;4000;80659692307,69
unevenstring;96;5;1;4000;97541953488,37
unevenstring;96;5;2;4000;95325090909,09
unevenstring;96;5;3;4000;95325090909,09
unevenstring;96;5;4;4000;95325090909,09
unevenstring;96;5;5;4000;95325090909,09
unevenstring;96;5;6;4000;95325090909,09
unevenstring;96;5;7;4000;95325090909,09
unevenstring;96;5;8;4000;95325090909,09
unevenstring;96;5;9;4000;95325090909,09
unevenstring;96;5;10;4000;97541953488,37
unevenstring;96;5;11;4000;97541953488,37
unevenstring;96;5;12;4000;97541953488,37
unevenstring;96;5;13;4000;95325090909,09
unevenstring;96;5;14;4000;97541953488,37
unevenstring;96;5;15;4000;97541953488,37
unevenstring;96;5;16;4000;97541953488,37
unevenstring;96;5;17;4000;95325090909,09
unevenstring;96;5;18;4000;97541953488,37
unevenstring;96;5;19;4000;97541953488,37
unevenstring;96;5;20;4000;95325090909,09
unevenstring;96;5;21;4000;95325090909,09
unevenstring;96;5;22;4000;95325090909,09
unevenstring;96;5;23;4000;95325090909,09
unevenstring;96;5;24;4000;95325090909,09
unevenstring;96;5;25;4000;95325090909,09
unevenstring;96;5;26;4000;95325090909,09
unevenstring;96;5;27;4000;95325090909,09
unevenstring;96;5;28;4000;95325090909,09
unevenstring;96;5;29;4000;95325090909,09
unevenstring;96;5;30;4000;95325090909,09
unevenstring;96;6;1;4000;113359567567,57
unevenstring;96;6;2;4000;110376421052,63
unevenstring;96;6;3;4000;110376421052,63
unevenstring;96;6;4;4000;110376421052,63
unevenstring;96;6;5;4000;110376421052,63
unevenstring;96;6;6;4000;110376421052,63
unevenstring;96;6;7;4000;110376421052,63
unevenstring;96;6;8;4000;110376421052,63
unevenstring;96;6;9;4000;110376421052,63
unevenstring;96;6;10;4000;110376421052,63
unevenstring;96;6;11;4000;110376421052,63
unevenstring;96;6;12;4000;110376421052,63
unevenstring;96;6;13;4000;110376421052,63
unevenstring;96;6;14;4000;110376421052,63
unevenstring;96;6;15;4000;107546256410,26
unevenstring;96;6;16;4000;110376421052,63
unevenstring;96;6;17;4000;110376421052,63
unevenstring;96;6;18;4000;110376421052,63
unevenstring;96;6;19;4000;110376421052,63
unevenstring;96;6;20;4000;110376421052,63
unevenstring;96;6;21;4000;110376421052,63
unevenstring;96;6;22;4000;110376421052,63
unevenstring;96;6;23;4000;110376421052,63
unevenstring;96;6;24;4000;110376421052,63
unevenstring;96;6;25;4000;110376421052,63
unevenstring;96;6;26;4000;110376421052,63
unevenstring;96;6;27;4000;110376421052,63
unevenstring;96;6;28;4000;110376421052,63
unevenstring;96;6;29;4000;110376421052,63
unevenstring;96;6;30;4000;110376421052,63
unevenstring;96;7;1;4000;127100121212,12
unevenstring;96;7;2;4000;123361882352,94
unevenstring;96;7;3;4000;123361882352,94
unevenstring;96;7;4;4000;123361882352,94
unevenstring;96;7;5;4000;123361882352,94
unevenstring;96;7;6;4000;123361882352,94
unevenstring;96;7;7;4000;123361882352,94
unevenstring;96;7;8;4000;123361882352,94
unevenstring;96;7;9;4000;123361882352,94
unevenstring;96;7;10;4000;123361882352,94
unevenstring;96;7;11;4000;123361882352,94
unevenstring;96;7;12;4000;123361882352,94
unevenstring;96;7;13;4000;123361882352,94
unevenstring;96;7;14;4000;123361882352,94
unevenstring;96;7;15;4000;123361882352,94
unevenstring;96;7;16;4000;123361882352,94
unevenstring;96;7;17;4000;123361882352,94
unevenstring;96;7;18;4000;123361882352,94
unevenstring;96;7;19;4000;123361882352,94
unevenstring;96;7;20;4000;123361882352,94
unevenstring;96;7;21;4000;123361882352,94
unevenstring;96;7;22;4000;123361882352,94
unevenstring;96;7;23;4000;123361882352,94
unevenstring;96;7;24;4000;123361882352,94
unevenstring;96;7;25;4000;123361882352,94
unevenstring;96;7;26;4000;123361882352,94
unevenstring;96;7;27;4000;123361882352,94
unevenstring;96;7;28;4000;123361882352,94
unevenstring;96;7;29;4000;123361882352,94
unevenstring;96;7;30;4000;123361882352,94
unevenstring;96;8;1;4000;139810133333,33
unevenstring;96;8;2;4000;131072000000,00
unevenstring;96;8;3;4000;135300129032,26
