stringa cercata;thread per blocco;blocchi per SM;ripetizione;dimensione file;throughput
unevenstring;160;9;6;3000;125829120000,00
unevenstring;160;9;7;3000;131072000000,00
unevenstring;160;9;8;3000;142987636363,64
unevenstring;160;9;9;3000;142987636363,64
unevenstring;160;9;10;3000;131072000000,00
unevenstring;160;9;11;3000;136770782608,70
unevenstring;160;9;12;3000;142987636363,64
unevenstring;160;9;13;3000;149796571428,57
unevenstring;160;9;14;3000;142987636363,64
unevenstring;160;9;15;3000;142987636363,64
unevenstring;160;9;16;3000;149796571428,57
unevenstring;160;9;17;3000;157286400000,00
unevenstring;160;9;18;3000;157286400000,00
unevenstring;160;9;19;3000;165564631578,95
unevenstring;160;9;20;3000;165564631578,95
unevenstring;160;9;21;3000;165564631578,95
unevenstring;160;9;22;3000;165564631578,95
unevenstring;160;9;23;3000;157286400000,00
unevenstring;160;9;24;3000;157286400000,00
unevenstring;160;9;25;3000;165564631578,95
unevenstring;160;9;26;3000;165564631578,95
unevenstring;160;9;27;3000;165564631578,95
unevenstring;160;9;28;3000;165564631578,95
unevenstring;160;9;29;3000;165564631578,95
unevenstring;160;9;30;3000;165564631578,95
unevenstring;192;8;1;3000;174762666666,67
unevenstring;192;8;2;3000;174762666666,67
unevenstring;192;8;3;3000;174762666666,67
unevenstring;192;8;4;3000;174762666666,67
unevenstring;192;8;5;3000;174762666666,67
unevenstring;192;8;6;3000;174762666666,67
unevenstring;192;8;7;3000;174762666666,67
unevenstring;192;8;8;3000;174762666666,67
unevenstring;192;8;9;3000;165564631578,95
unevenstring;192;8;10;3000;165564631578,95
unevenstring;192;8;11;3000;165564631578,95
unevenstring;192;8;12;3000;157286400000,00
unevenstring;192;8;13;3000;157286400000,00
unevenstring;192;8;14;3000;149796571428,57
unevenstring;192;8;15;3000;149796571428,57
unevenstring;192;8;16;3000;149796571428,57
unevenstring;192;8;17;3000;149796571428,57
unevenstring;192;8;18;3000;149796571428,57
unevenstring;192;8;19;3000;149796571428,57
unevenstring;192;8;20;3000;142987636363,64
unevenstring;192;8;21;3000;142987636363,64
unevenstring;192;8;22;3000;142987636363,64
unevenstring;192;8;23;3000;149796571428,57
unevenstring;192;8;24;3000;149796571428,57
unevenstring;192;8;25;3000;149796571428,57
unevenstring;192;8;26;3000;136770782608,70
unevenstring;192;8;27;3000;142987636363,64
unevenstring;192;8;28;3000;149796571428,57
unevenstring;192;8;29;3000;157286400000,00
unevenstring;192;8;30;3000;157286400000,00
unevenstring;224;6;1;3000;149796571428,57
unevenstring;224;6;2;3000;149796571428,57
unevenstring;224;6;3;3000;149796571428,57
unevenstring;224;6;4;3000;157286400000,00
unevenstring;224;6;5;3000;165564631578,95
unevenstring;224;6;6;3000;165564631578,95
unevenstring;224;6;7;3000;165564631578,95
unevenstring;224;6;8;3000;165564631578,95
unevenstring;224;6;9;3000;165564631578,95
unevenstring;224;6;10;3000;165564631578,95
unevenstring;224;6;11;3000;165564631578,95
unevenstring;224;6;12;3000;165564631578,95
unevenstring;224;6;13;3000;165564631578,95
unevenstring;224;6;14;3000;157286400000,00
unevenstring;224;6;15;3000;157286400000,00
unevenstring;224;6;16;3000;165564631578,95
unevenstring;224;6;17;3000;165564631578,95
unevenstring;224;6;18;3000;165564631578,95
unevenstring;224;6;19;3000;165564631578,95
unevenstring;224;6;20;3000;165564631578,95
unevenstring;224;6;21;3000;165564631578,95
unevenstring;224;6;22;3000;165564631578,95
unevenstring;224;6;23;3000;165564631578,95
unevenstring;224;6;24;3000;165564631578,95
unevenstring;224;6;25;3000;157286400000,00
unevenstring;224;6;26;3000;157286400000,00
unevenstring;224;6;27;3000;157286400000,00
unevenstring;224;6;28;3000;149796571428,57
unevenstring;224;6;29;3000;142987636363,64
unevenstring;224;6;30;3000;142987636363,64
unevenstring;256;6;1;3000;165564631578,95
unevenstring;256;6;2;3000;157286400000,00
unevenstring;256;6;3;3000;149796571428,57
unevenstring;256;6;4;3000;149796571428,57
unevenstring;256;6;5;3000;149796571428,57
unevenstring;256;6;6;3000;142987636363,64
unevenstring;256;6;7;3000;149796571428,57
unevenstring;256;6;8;3000;149796571428,57
unevenstring;256;6;9;3000;149796571428,57
unevenstring;256;6;10;3000;149796571428,57
unevenstring;256;6;11;3000;142987636363,64
unevenstring;256;6;12;3000;149796571428,57
unevenstring;256;6;13;3000;157286400000,00
unevenstring;256;6;14;3000;157286400000,00
unevenstring;256;6;15;3000;165564631578,95
unevenstring;256;6;16;3000;174762666666,67
unevenstring;256;6;17;3000;174762666666,67
unevenstring;256;6;18;3000;174762666666,67
unevenstring;256;6;19;3000;174762666666,67
unevenstring;256;6;20;3000;174762666666,67
unevenstring;256;6;21;3000;174762666666,67
unevenstring;256;6;22;3000;174762666666,67
unevenstring;256;6;23;3000;174762666666,67
unevenstring;256;6;24;3000;174762666666,67
unevenstring;256;6;25;3000;174762666666,67
unevenstring;256;6;26;3000;185042823529,41
unevenstring;256;6;27;3000;185042823529,41
unevenstring;256;6;28;3000;185042823529,41
unevenstring;256;6;29;3000;174762666666,67
unevenstring;256;6;30;3000;174762666666,67
unevenstring;288;5;1;3000;174762666666,67
unevenstring;288;5;2;3000;174762666666,67
unevenstring;288;5;3;3000;174762666666,67
unevenstring;288;5;4;3000;174762666666,67
unevenstring;288;5;5;3000;174762666666,67
unevenstring;288;5;6;3000;174762666666,67
unevenstring;288;5;7;3000;174762666666,67
unevenstring;288;5;8;3000;174762666666,67
unevenstring;288;5;9;3000;174762666666,67
unevenstring;288;5;10;3000;174762666666,67
unevenstring;288;5;11;3000;174762666666,67
unevenstring;288;5;12;3000;165564631578,95
unevenstring;288;5;13;3000;165564631578,95
unevenstring;288;5;14;3000;165564631578,95
unevenstring;288;5;15;3000;165564631578,95
unevenstring;288;5;16;3000;165564631578,95
unevenstring;288;5;17;3000;165564631578,95
unevenstring;288;5;18;3000;165564631578,95
unevenstring;288;5;19;3000;165564631578,95
unevenstring;288;5;20;3000;157286400000,00
unevenstring;288;5;21;3000;149796571428,57
unevenstring;288;5;22;3000;149796571428,57
unevenstring;288;5;23;3000;157286400000,00
unevenstring;288;5;24;3000;157286400000,00
unevenstring;288;5;25;3000;157286400000,00
unevenstring;288;5;26;3000;165564631578,95
unevenstring;288;5;27;3000;165564631578,95
unevenstring;288;5;28;3000;165564631578,95
unevenstring;288;5;29;3000;165564631578,95
unevenstring;288;5;30;3000;157286400000,00
unevenstring;32;24;1;4000;127100121212,12
unevenstring;32;24;2;4000;135300129032,26
unevenstring;32;24;3;4000;139810133333,33
unevenstring;32;24;4;4000;135300129032,26
unevenstring;32;24;5;4000;139810133333,33
unevenstring;32;24;6;4000;135300129032,26
unevenstring;32;24;7;4000;139810133333,33
unevenstring;32;24;8;4000;139810133333,33
unevenstring;32;24;9;4000;139810133333,33
unevenstring;32;24;10;4000;139810133333,33
unevenstring;32;24;11;4000;139810133333,33
unevenstring;32;24;12;4000;139810133333,33
unevenstring;32;24;13;4000;144631172413,79
unevenstring;32;24;14;4000;135300129032,26
unevenstring;32;24;15;4000;139810133333,33
unevenstring;32;24;16;4000;139810133333,33
unevenstring;32;24;17;4000;139810133333,33
unevenstring;32;24;18;4000;139810133333,33
unevenstring;32;24;19;4000;139810133333,33
unevenstring;32;24;20;4000;139810133333,33
unevenstring;32;24;21;4000;135300129032,26
unevenstring;32;24;22;4000;135300129032,26
unevenstring;32;24;23;4000;135300129032,26
unevenstring;32;24;24;4000;135300129032,26
unevenstring;32;24;25;4000;135300129032,26
unevenstring;32;24;26;4000;135300129032,26
unevenstring;32;24;27;4000;135300129032,26
unevenstring;32;24;28;4000;135300129032,26
unevenstring;32;24;29;4000;135300129032,26
unevenstring;32;24;30;4000;135300129032,26
unevenstring;64;24;1;4000;174762666666,67
unevenstring;64;24;2;4000;167772160000,00
unevenstring;64;24;3;4000;174762666666,67
unevenstring;64;24;4;4000;167772160000,00
unevenstring;64;24;5;4000;167772160000,00
unevenstring;64;24;6;4000;174762666666,67
unevenstring;64;24;7;4000;167772160000,00
unevenstring;64;24;8;4000;174762666666,67
unevenstring;64;24;9;4000;174762666666,67
unevenstring;64;24;10;4000;167772160000,00
unevenstring;64;24;11;4000;174762666666,67
unevenstring;64;24;12;4000;182361043478,26
unevenstring;64;24;13;4000;167772160000,00
unevenstring;64;24;14;4000;174762666666,67
unevenstring;64;24;15;4000;182361043478,26
unevenstring;64;24;16;4000;174762666666,67
unevenstring;64;24;17;4000;174762666666,67
unevenstring;64;24;18;4000;182361043478,26
unevenstring;64;24;19;4000;182361043478,26
unevenstring;64;24;20;4000;167772160000,00
unevenstring;64;24;21;4000;174762666666,67
unevenstring;64;24;22;4000;182361043478,26
unevenstring;64;24;23;4000;167772160000,00
unevenstring;64;24;24;4000;174762666666,67
unevenstring;64;24;25;4000;174762666666,67
unevenstring;64;24;26;4000;167772160000,00
unevenstring;64;24;27;4000;167772160000,00
unevenstring;64;24;28;4000;174762666666,67
unevenstring;64;24;29;4000;167772160000,00
unevenstring;64;24;30;4000;167772160000,00
unevenstring;96;16;1;4000;174762666666,67
unevenstring;96;16;2;4000;161319384615,38
unevenstring;96;16;3;4000;167772160000,00
unevenstring;96;16;4;4000;174762666666,67
unevenstring;96;16;5;4000;161319384615,38
unevenstring;96;16;6;4000;167772160000,00
unevenstring;96;16;7;4000;174762666666,67
unevenstring;96;16;8;4000;161319384615,38
unevenstring;96;16;9;4000;167772160000,00
unevenstring;96;16;10;4000;174762666666,67
unevenstring;96;16;11;4000;167772160000,00
unevenstring;96;16;12;4000;167772160000,00
unevenstring;96;16;13;4000;174762666666,67
unevenstring;96;16;14;4000;161319384615,38
unevenstring;96;16;15;4000;167772160000,00
unevenstring;96;16;16;4000;174762666666,67
unevenstring;96;16;17;4000;161319384615,38
unevenstring;96;16;18;4000;174762666666,67
unevenstring;96;16;19;4000;182361043478,26
unevenstring;96;16;20;4000;167772160000,00
unevenstring;96;16;21;4000;174762666666,67
unevenstring;96;16;22;4000;182361043478,26
unevenstring;96;16;23;4000;174762666666,67
unevenstring;96;16;24;4000;174762666666,67
unevenstring;96;16;25;4000;182361043478,26
unevenstring;96;16;26;4000;182361043478,26
unevenstring;96;16;27;4000;167772160000,00
unevenstring;96;16;28;4000;174762666666,67
unevenstring;96;16;29;4000;182361043478,26
unevenstring;96;16;30;4000;167772160000,00
unevenstring;128;12;1;4000;167772160000,00
unevenstring;128;12;2;4000;174762666666,67
unevenstring;128;12;3;4000;167772160000,00
unevenstring;128;12;4;4000;167772160000,00
unevenstring;128;12;5;4000;174762666666,67
unevenstring;128;12;6;4000;174762666666,67
unevenstring;128;12;7;4000;161319384615,38
unevenstring;128;12;8;4000;174762666666,67
unevenstring;128;12;9;4000;167772160000,00
unevenstring;128;12;10;4000;167772160000,00
unevenstring;128;12;11;4000;174762666666,67
unevenstring;128;12;12;4000;167772160000,00
unevenstring;128;12;13;4000;167772160000,00
unevenstring;128;12;14;4000;174762666666,67
unevenstring;128;12;15;4000;167772160000,00
unevenstring;128;12;16;4000;167772160000,00
unevenstring;128;12;17;4000;174762666666,67
unevenstring;128;12;18;4000;161319384615,38
unevenstring;128;12;19;4000;167772160000,00
unevenstring;128;12;20;4000;174762666666,67
unevenstring;128;12;21;4000;161319384615,38
unevenstring;128;12;22;4000;167772160000,00
unevenstring;128;12;23;4000;174762666666,67
unevenstring;128;12;24;4000;167772160000,00
unevenstring;128;12;25;4000;174762666666,67
unevenstring;128;12;26;4000;174762666666,67
unevenstring;128;12;27;4000;167772160000,00
unevenstring;128;12;28;4000;174762666666,67
unevenstring;128;12;29;4000;182361043478,26
unevenstring;128;12;30;4000;174762666666,67
unevenstring;160;9;1;4000;167772160000,00
unevenstring;160;9;2;4000;174762666666,67
unevenstring;160;9;3;4000;167772160000,00
unevenstring;160;9;4;4000;174762666666,67
unevenstring;160;9;5;4000;174762666666,67
unevenstring;160;9;6;4000;167772160000,00
unevenstring;160;9;7;4000;167772160000,00
unevenstring;160;9;8;4000;174762666666,67
unevenstring;160;9;9;4000;167772160000,00
unevenstring;160;9;10;4000;167772160000,00
unevenstring;160;9;11;4000;174762666666,67
unevenstring;160;9;12;4000;161319384615,38
unevenstring;160;9;13;4000;167772160000,00
unevenstring;160;9;14;4000;174762666666,67
unevenstring;160;9;15;4000;161319384615,38
unevenstring;160;9;16;4000;167772160000,00
unevenstring;160;9;17;4000;161319384615,38
unevenstring;160;9;18;4000;167772160000,00
unevenstring;160;9;19;4000;167772160000,00
unevenstring;160;9;20;4000;161319384615,38
unevenstring;160;9;21;4000;167772160000,00
unevenstring;160;9;22;4000;167772160000,00
unevenstring;160;9;23;4000;167772160000,00
unevenstring;160;9;24;4000;167772160000,00
unevenstring;160;9;25;4000;161319384615,38
unevenstring;160;9;26;4000;167772160000,00
unevenstring;160;9;27;4000;167772160000,00
unevenstring;160;9;28;4000;161319384615,38
unevenstring;160;9;29;4000;167772160000,00
unevenstring;160;9;30;4000;167772160000,00
unevenstring;192;8;1;4000;167772160000,00
unevenstring;192;8;2;4000;174762666666,67
unevenstring;192;8;3;4000;174762666666,67
unevenstring;192;8;4;4000;167772160000,00
unevenstring;192;8;5;4000;174762666666,67
unevenstring;192;8;6;4000;182361043478,26
unevenstring;192;8;7;4000;167772160000,00
unevenstring;192;8;8;4000;174762666666,67
unevenstring;192;8;9;4000;182361043478,26
unevenstring;192;8;10;4000;167772160000,00
unevenstring;192;8;11;4000;174762666666,67
unevenstring;192;8;12;4000;182361043478,26
unevenstring;192;8;13;4000;182361043478,26
unevenstring;192;8;14;4000;167772160000,00
unevenstring;192;8;15;4000;174762666666,67
unevenstring;192;8;16;4000;174762666666,67
unevenstring;192;8;17;4000;167772160000,00
unevenstring;192;8;18;4000;174762666666,67
unevenstring;192;8;19;4000;174762666666,67
unevenstring;192;8;20;4000;161319384615,38
unevenstring;192;8;21;4000;167772160000,00
unevenstring;192;8;22;4000;174762666666,67
unevenstring;192;8;23;4000;161319384615,38
unevenstring;192;8;24;4000;174762666666,67
unevenstring;192;8;25;4000;174762666666,67
unevenstring;192;8;26;4000;167772160000,00
unevenstring;192;8;27;4000;174762666666,67
unevenstring;192;8;28;4000;174762666666,67
unevenstring;192;8;29;4000;161319384615,38
unevenstring;192;8;30;4000;167772160000,00
unevenstring;224;6;1;4000;167772160000,00
unevenstring;224;6;2;4000;161319384615,38
unevenstring;224;6;3;4000;167772160000,00
unevenstring;224;6;4;4000;161319384615,38
unevenstring;224;6;5;4000;167772160000,00
unevenstring;224;6;6;4000;174762666666,67
unevenstring;224;6;7;4000;161319384615,38
unevenstring;224;6;8;4000;167772160000,00
unevenstring;224;6;9;4000;167772160000,00
unevenstring;224;6;10;4000;167772160000,00
unevenstring;224;6;11;4000;174762666666,67
unevenstring;224;6;12;4000;167772160000,00
unevenstring;224;6;13;4000;167772160000,00
unevenstring;224;6;14;4000;174762666666,67
unevenstring;224;6;15;4000;167772160000,00
unevenstring;224;6;16;4000;167772160000,00
unevenstring;224;6;17;4000;174762666666,67
unevenstring;224;6;18;4000;161319384615,38
unevenstring;224;6;19;4000;167772160000,00
unevenstring;224;6;20;4000;174762666666,67
unevenstring;224;6;21;4000;161319384615,38
unevenstring;224;6;22;4000;167772160000,00
unevenstring;224;6;23;4000;167772160000,00
unevenstring;224;6;24;4000;161319384615,38
unevenstring;224;6;25;4000;167772160000,00
unevenstring;224;6;26;4000;167772160000,00
unevenstring;224;6;27;4000;167772160000,00
unevenstring;224;6;28;4000;167772160000,00
unevenstring;224;6;29;4000;161319384615,38
unevenstring;224;6;30;4000;167772160000,00
unevenstring;256;6;1;4000;182361043478,26
unevenstring;256;6;2;4000;161319384615,38
unevenstring;256;6;3;4000;167772160000,00
unevenstring;256;6;4;4000;174762666666,67
unevenstring;256;6;5;4000;155344592592,59
unevenstring;256;6;6;4000;167772160000,00
unevenstring;256;6;7;4000;167772160000,00
unevenstring;256;6;8;4000;161319384615,38
unevenstring;256;6;9;4000;174762666666,67
unevenstring;256;6;10;4000;174762666666,67
unevenstring;256;6;11;4000;161319384615,38
unevenstring;256;6;12;4000;167772160000,00
unevenstring;256;6;13;4000;167772160000,00
unevenstring;256;6;14;4000;174762666666,67
unevenstring;256;6;15;4000;174762666666,67
unevenstring;256;6;16;4000;182361043478,26
unevenstring;256;6;17;4000;167772160000,00
unevenstring;256;6;18;4000;174762666666,67
unevenstring;256;6;19;4000;182361043478,26
unevenstring;256;6;20;4000;174762666666,67
unevenstring;256;6;21;4000;174762666666,67
unevenstring;256;6;22;4000;182361043478,26
unevenstring;256;6;23;4000;174762666666,67
unevenstring;256;6;24;4000;167772160000,00
unevenstring;256;6;25;4000;174762666666,67
unevenstring;256;6;26;4000;174762666666,67
unevenstring;256;6;27;4000;167772160000,00
unevenstring;256;6;28;4000;174762666666,67
unevenstring;256;6;29;4000;182361043478,26
unevenstring;256;6;30;4000;167772160000,00
unevenstring;288;5;1;4000;167772160000,00
unevenstring;288;5;2;4000;174762666666,67
unevenstring;288;5;3;4000;161319384615,38
unevenstring;288;5;4;4000;167772160000,00
unevenstring;288;5;5;4000;167772160000,00
unevenstring;288;5;6;4000;167772160000,00
unevenstring;288;5;7;4000;167772160000,00
unevenstring;288;5;8;4000;167772160000,00
unevenstring;288;5;9;4000;161319384615,38
unevenstring;288;5;10;4000;167772160000,00
unevenstring;288;5;11;4000;161319384615,38
unevenstring;288;5;12;4000;161319384615,38
unevenstring;288;5;13;4000;167772160000,00
unevenstring;288;5;14;4000;161319384615,38
unevenstring;288;5;15;4000;167772160000,00
unevenstring;288;5;16;4000;167772160000,00
unevenstring;288;5;17;4000;161319384615,38
unevenstring;288;5;18;4000;167772160000,00
unevenstring;288;5;19;4000;167772160000,00
unevenstring;288;5;20;4000;167772160000,00
unevenstring;288;5;21;4000;167772160000,00
unevenstring;288;5;22;4000;167772160000,00
unevenstring;288;5;23;4000;167772160000,00
unevenstring;288;5;24;4000;174762666666,67
unevenstring;288;5;25;4000;167772160000,00
unevenstring;288;5;26;4000;167772160000,00
unevenstring;288;5;27;4000;174762666666,67
unevenstring;288;5;28;4000;167772160000,00
unevenstring;288;5;29;4000;167772160000,00
unevenstring;288;5;30;4000;174762666666,67
unevenstring;32;24;1;5000;131072000000,00
unevenstring;32;24;2;5000;137970526315,79
unevenstring;32;24;3;5000;137970526315,79
unevenstring;32;24;4;5000;137970526315,79
unevenstring;32;24;5;5000;137970526315,79
unevenstring;32;24;6;5000;137970526315,79
unevenstring;32;24;7;5000;137970526315,79
unevenstring;32;24;8;5000;137970526315,79
unevenstring;32;24;9;5000;137970526315,79
unevenstring;32;24;10;5000;134432820512,82
unevenstring;32;24;11;5000;137970526315,79
unevenstring;32;24;12;5000;134432820512,82
unevenstring;32;24;13;5000;137970526315,79
unevenstring;32;24;14;5000;134432820512,82
unevenstring;32;24;15;5000;137970526315,79
unevenstring;32;24;16;5000;137970526315,79
unevenstring;32;24;17;5000;137970526315,79
unevenstring;32;24;18;5000;137970526315,79
unevenstring;32;24;19;5000;137970526315,79
unevenstring;32;24;20;5000;137970526315,79
unevenstring;32;24;21;5000;137970526315,79
unevenstring;32;24;22;5000;137970526315,79
unevenstring;32;24;23;5000;134432820512,82
unevenstring;32;24;24;5000;137970526315,79
unevenstring;32;24;25;5000;137970526315,79
unevenstring;32;24;26;5000;137970526315,79
unevenstring;32;24;27;5000;137970526315,79
unevenstring;32;24;28;5000;137970526315,79
unevenstring;32;24;29;5000;137970526315,79
unevenstring;32;24;30;5000;137970526315,79
unevenstring;64;24;1;5000;180788965517,24
unevenstring;64;24;2;5000;163840000000,00
unevenstring;64;24;3;5000;163840000000,00
unevenstring;64;24;4;5000;163840000000,00
unevenstring;64;24;5;5000;169125161290,32
unevenstring;64;24;6;5000;169125161290,32
unevenstring;64;24;7;5000;163840000000,00
unevenstring;64;24;8;5000;169125161290,32
unevenstring;64;24;9;5000;163840000000,00
unevenstring;64;24;10;5000;163840000000,00
unevenstring;64;24;11;5000;169125161290,32
unevenstring;64;24;12;5000;169125161290,32
unevenstring;64;24;13;5000;163840000000,00
unevenstring;64;24;14;5000;169125161290,32
unevenstring;64;24;15;5000;169125161290,32
unevenstring;64;24;16;5000;163840000000,00
unevenstring;64;24;17;5000;174762666666,67
unevenstring;64;24;18;5000;163840000000,00
unevenstring;64;24;19;5000;163840000000,00
unevenstring;64;24;20;5000;169125161290,32
unevenstring;64;24;21;5000;169125161290,32
unevenstring;64;24;22;5000;169125161290,32
unevenstring;64;24;23;5000;174762666666,67
unevenstring;64;24;24;5000;169125161290,32
unevenstring;64;24;25;5000;169125161290,32
unevenstring;64;24;26;5000;174762666666,67
unevenstring;64;24;27;5000;163840000000,00
unevenstring;64;24;28;5000;174762666666,67
unevenstring;64;24;29;5000;174762666666,67
unevenstring;64;24;30;5000;169125161290,32
unevenstring;96;16;1;5000;174762666666,67
unevenstring;96;16;2;5000;174762666666,67
unevenstring;96;16;3;5000;169125161290,32
unevenstring;96;16;4;5000;174762666666,67
unevenstring;96;16;5;5000;169125161290,32
unevenstring;96;16;6;5000;163840000000,00
unevenstring;96;16;7;5000;169125161290,32
unevenstring;96;16;8;5000;163840000000,00
unevenstring;96;16;9;5000;163840000000,00
unevenstring;96;16;10;5000;169125161290,32
unevenstring;96;16;11;5000;169125161290,32
unevenstring;96;16;12;5000;169125161290,32
unevenstring;96;16;13;5000;169125161290,32
unevenstring;96;16;14;5000;163840000000,00
unevenstring;96;16;15;5000;169125161290,32
unevenstring;96;16;16;5000;169125161290,32
unevenstring;96;16;17;5000;163840000000,00
unevenstring;96;16;18;5000;169125161290,32
unevenstring;96;16;19;5000;169125161290,32
unevenstring;96;16;20;5000;163840000000,00
unevenstring;96;16;21;5000;169125161290,32
unevenstring;96;16;22;5000;174762666666,67
unevenstring;96;16;23;5000;169125161290,32
unevenstring;96;16;24;5000;174762666666,67
unevenstring;96;16;25;5000;169125161290,32
unevenstring;96;16;26;5000;169125161290,32
unevenstring;96;16;27;5000;174762666666,67
unevenstring;96;16;28;5000;163840000000,00
unevenstring;96;16;29;5000;169125161290,32
unevenstring;96;16;30;5000;174762666666,67
unevenstring;128;12;1;5000;169125161290,32
unevenstring;128;12;2;5000;174762666666,67
