thread;rep;throughput;target_string;file_size 
16;5;8.90132e+08;------------;500 
16;6;8.76736e+08;------------;500 
16;7;9.60234e+08;------------;500 
16;8;9.3456e+08;------------;500 
16;9;8.94689e+08;------------;500 
16;10;9.13394e+08;------------;500 
1;1;2.20474e+08;------------;1000 
1;2;2.19827e+08;------------;1000 
1;3;2.19781e+08;------------;1000 
1;4;2.20382e+08;------------;1000 
1;5;2.2015e+08;------------;1000 
1;6;2.19735e+08;------------;1000 
1;7;2.19551e+08;------------;1000 
1;8;2.20474e+08;------------;1000 
1;9;2.19827e+08;------------;1000 
1;10;2.18772e+08;------------;1000 
2;1;4.36907e+08;------------;1000 
2;2;4.38735e+08;------------;1000 
2;3;4.40949e+08;------------;1000 
2;4;4.38735e+08;------------;1000 
2;5;4.41506e+08;------------;1000 
2;6;4.35094e+08;------------;1000 
2;7;4.42251e+08;------------;1000 
2;8;4.3947e+08;------------;1000 
2;9;4.43185e+08;------------;1000 
2;10;4.39655e+08;------------;1000 
3;1;6.64076e+08;------------;1000 
3;2;6.50885e+08;------------;1000 
3;3;6.59482e+08;------------;1000 
3;4;6.61145e+08;------------;1000 
3;5;6.5618e+08;------------;1000 
3;6;6.61562e+08;------------;1000 
3;7;6.59482e+08;------------;1000 
3;8;6.57827e+08;------------;1000 
3;9;6.62398e+08;------------;1000 
3;10;6.50885e+08;------------;1000 
4;1;8.42907e+08;------------;1000 
4;2;8.34854e+08;------------;1000 
4;3;8.09086e+08;------------;1000 
4;4;8.17922e+08;------------;1000 
4;5;8.192e+08;------------;1000 
4;6;8.11591e+08;------------;1000 
4;7;8.2957e+08;------------;1000 
4;8;8.17922e+08;------------;1000 
4;9;8.28259e+08;------------;1000 
4;10;8.27605e+08;------------;1000 
5;1;9.43813e+08;------------;1000 
5;2;9.50658e+08;------------;1000 
5;3;9.03166e+08;------------;1000 
5;4;9.47223e+08;------------;1000 
5;5;9.58479e+08;------------;1000 
5;6;9.28765e+08;------------;1000 
5;7;9.50658e+08;------------;1000 
5;8;9.58479e+08;------------;1000 
5;9;9.57604e+08;------------;1000 
5;10;9.11805e+08;------------;1000 
6;1;1.02002e+09;------------;1000 
6;2;1.05385e+09;------------;1000 
6;3;1.00246e+09;------------;1000 
6;4;1.04544e+09;------------;1000 
6;5;1.00055e+09;------------;1000 
6;6;1.04025e+09;------------;1000 
6;7;9.90157e+08;------------;1000 
6;8;1.04858e+09;------------;1000 
6;9;1.06454e+09;------------;1000 
6;10;1.00342e+09;------------;1000 
7;1;1.06131e+09;------------;1000 
7;2;1.0581e+09;------------;1000 
7;3;1.03105e+09;------------;1000 
7;4;9.78149e+08;------------;1000 
7;5;8.91646e+08;------------;1000 
7;6;9.58479e+08;------------;1000 
7;7;1.0341e+09;------------;1000 
7;8;1.05491e+09;------------;1000 
7;9;1.04025e+09;------------;1000 
7;10;9.8829e+08;------------;1000 
8;1;9.83655e+08;------------;1000 
8;2;1.06239e+09;------------;1000 
8;3;1.03105e+09;------------;1000 
8;4;1.06024e+09;------------;1000 
8;5;9.99596e+08;------------;1000 
8;6;1.05385e+09;------------;1000 
8;7;1.04129e+09;------------;1000 
8;8;1.05279e+09;------------;1000 
8;9;1.00342e+09;------------;1000 
8;10;1.09e+09;------------;1000 
9;1;1.05597e+09;------------;1000 
9;2;1.04963e+09;------------;1000 
9;3;1.00151e+09;------------;1000 
9;4;1.01606e+09;------------;1000 
9;5;1.10145e+09;------------;1000 
9;6;1.03614e+09;------------;1000 
9;7;1.026e+09;------------;1000 
9;8;1.07436e+09;------------;1000 
9;9;1.10493e+09;------------;1000 
9;10;9.81813e+08;------------;1000 
10;1;1.05068e+09;------------;1000 
10;2;1.03105e+09;------------;1000 
10;3;1.06671e+09;------------;1000 
10;4;1.04336e+09;------------;1000 
10;5;1.05068e+09;------------;1000 
10;6;1.06024e+09;------------;1000 
10;7;1.03819e+09;------------;1000 
10;8;1.06024e+09;------------;1000 
10;9;1.06131e+09;------------;1000 
10;10;1.04336e+09;------------;1000 
11;1;9.80894e+08;------------;1000 
11;2;1.00535e+09;------------;1000 
11;3;1.06024e+09;------------;1000 
11;4;1.04025e+09;------------;1000 
11;5;9.61115e+08;------------;1000 
11;6;1.04025e+09;------------;1000 
11;7;1.04232e+09;------------;1000 
11;8;1.05703e+09;------------;1000 
11;9;9.74513e+08;------------;1000 
11;10;1.05703e+09;------------;1000 
12;1;1.01116e+09;------------;1000 
12;2;9.18193e+08;------------;1000 
12;3;1.01019e+09;------------;1000 
12;4;1.00535e+09;------------;1000 
12;5;1.00922e+09;------------;1000 
12;6;9.45515e+08;------------;1000 
12;7;1.026e+09;------------;1000 
12;8;1.04025e+09;------------;1000 
12;9;9.85504e+08;------------;1000 
12;10;1.01705e+09;------------;1000 
13;1;9.89223e+08;------------;1000 
13;2;9.69109e+08;------------;1000 
13;3;9.20611e+08;------------;1000 
13;4;9.85504e+08;------------;1000 
13;5;9.49797e+08;------------;1000 
13;6;9.66429e+08;------------;1000 
13;7;9.53251e+08;------------;1000 
13;8;9.91093e+08;------------;1000 
13;9;9.72705e+08;------------;1000 
13;10;9.12599e+08;------------;1000 
14;1;9.59356e+08;------------;1000 
14;2;9.55858e+08;------------;1000 
14;3;9.41271e+08;------------;1000 
14;4;9.2142e+08;------------;1000 
14;5;9.52385e+08;------------;1000 
14;6;9.30413e+08;------------;1000 
14;7;8.81897e+08;------------;1000 
14;8;9.36229e+08;------------;1000 
14;9;9.6554e+08;------------;1000 
14;10;9.11805e+08;------------;1000 
15;1;9.23856e+08;------------;1000 
15;2;9.36229e+08;------------;1000 
15;3;9.03945e+08;------------;1000 
15;4;8.36185e+08;------------;1000 
15;5;9.3124e+08;------------;1000 
15;6;9.29589e+08;------------;1000 
15;7;8.85622e+08;------------;1000 
15;8;9.2223e+08;------------;1000 
15;9;9.32068e+08;------------;1000 
15;10;9.19804e+08;------------;1000 
16;1;8.8712e+08;------------;1000 
16;2;8.7091e+08;------------;1000 
16;3;8.65876e+08;------------;1000 
16;4;8.47677e+08;------------;1000 
16;5;8.69466e+08;------------;1000 
16;6;8.7091e+08;------------;1000 
16;7;8.65876e+08;------------;1000 
16;8;8.65876e+08;------------;1000 
16;9;8.61607e+08;------------;1000 
16;10;8.55282e+08;------------;1000 
1;1;2.21265e+08;------------;2000 
1;2;2.20104e+08;------------;2000 
1;3;2.19966e+08;------------;2000 
1;4;2.18681e+08;------------;2000 
1;5;2.19574e+08;------------;2000 
1;6;2.19597e+08;------------;2000 
1;7;2.19712e+08;------------;2000 
1;8;2.19505e+08;------------;2000 
1;9;2.20266e+08;------------;2000 
1;10;2.21125e+08;------------;2000 
