thread;rep;throughput;target_string;file_size 
15;7;7.16975e+09;------------;4000 
15;8;7.16975e+09;------------;4000 
15;9;7.16975e+09;------------;4000 
15;10;7.26916e+09;------------;4000 
16;1;7.25658e+09;------------;4000 
16;2;7.07303e+09;------------;4000 
16;3;7.41043e+09;------------;4000 
16;4;7.35843e+09;------------;4000 
16;5;7.20671e+09;------------;4000 
16;6;7.13317e+09;------------;4000 
16;7;7.08497e+09;------------;4000 
16;8;6.96728e+09;------------;4000 
16;9;7.10899e+09;------------;4000 
16;10;7.15752e+09;------------;4000 
1;1;1.20526e+09;------------;6000 
1;2;1.21998e+09;------------;6000 
1;3;1.2188e+09;------------;6000 
1;4;1.2264e+09;------------;6000 
1;5;1.21363e+09;------------;6000 
1;6;1.22378e+09;------------;6000 
1;7;1.21246e+09;------------;6000 
1;8;1.2134e+09;------------;6000 
1;9;1.21739e+09;------------;6000 
1;10;1.21316e+09;------------;6000 
2;1;2.34581e+09;------------;6000 
2;2;2.36254e+09;------------;6000 
2;3;2.36166e+09;------------;6000 
2;4;2.33796e+09;------------;6000 
2;5;2.33363e+09;------------;6000 
2;6;2.36877e+09;------------;6000 
2;7;2.37145e+09;------------;6000 
2;8;2.35019e+09;------------;6000 
2;9;2.41886e+09;------------;6000 
2;10;2.35989e+09;------------;6000 
3;1;3.33941e+09;------------;6000 
3;2;3.46065e+09;------------;6000 
3;3;3.46255e+09;------------;6000 
3;4;3.58283e+09;------------;6000 
3;5;3.59923e+09;------------;6000 
3;6;3.53056e+09;------------;6000 
3;7;3.51674e+09;------------;6000 
3;8;3.51674e+09;------------;6000 
3;9;3.51282e+09;------------;6000 
3;10;3.51282e+09;------------;6000 
4;1;4.52623e+09;------------;6000 
4;2;4.4306e+09;------------;6000 
4;3;4.33894e+09;------------;6000 
4;4;4.18315e+09;------------;6000 
4;5;4.08536e+09;------------;6000 
4;6;4.47154e+09;------------;6000 
4;7;4.44626e+09;------------;6000 
4;8;4.57228e+09;------------;6000 
4;9;4.56896e+09;------------;6000 
4;10;4.47472e+09;------------;6000 
5;1;5.09842e+09;------------;6000 
5;2;5.115e+09;------------;6000 
5;3;5.11085e+09;------------;6000 
5;4;4.9539e+09;------------;6000 
5;5;5.20816e+09;------------;6000 
5;6;5.23416e+09;------------;6000 
5;7;5.13169e+09;------------;6000 
5;8;5.04932e+09;------------;6000 
5;9;5.20816e+09;------------;6000 
5;10;5.23851e+09;------------;6000 
6;1;5.74038e+09;------------;6000 
6;2;5.78259e+09;------------;6000 
6;3;5.67309e+09;------------;6000 
6;4;5.56766e+09;------------;6000 
6;5;5.70395e+09;------------;6000 
6;6;5.86343e+09;------------;6000 
6;7;5.56274e+09;------------;6000 
6;8;5.61236e+09;------------;6000 
6;9;5.83082e+09;------------;6000 
6;10;5.71431e+09;------------;6000 
7;1;6.12009e+09;------------;6000 
7;2;5.90193e+09;------------;6000 
7;3;5.85797e+09;------------;6000 
7;4;5.90193e+09;------------;6000 
7;5;6.12605e+09;------------;6000 
7;6;6.10229e+09;------------;6000 
7;7;6.24772e+09;------------;6000 
7;8;6.0033e+09;------------;6000 
7;9;5.78791e+09;------------;6000 
7;10;5.82542e+09;------------;6000 
8;1;6.56728e+09;------------;6000 
8;2;6.36787e+09;------------;6000 
8;3;6.30406e+09;------------;6000 
8;4;6.18021e+09;------------;6000 
8;5;6.40678e+09;------------;6000 
8;6;6.24772e+09;------------;6000 
8;7;5.99186e+09;------------;6000 
8;8;6.10821e+09;------------;6000 
8;9;6.47936e+09;------------;6000 
8;10;6.51964e+09;------------;6000 
9;1;6.32307e+09;------------;6000 
9;2;6.22916e+09;------------;6000 
9;3;6.03208e+09;------------;6000 
9;4;6.64356e+09;------------;6000 
9;5;6.32943e+09;------------;6000 
9;6;6.73603e+09;------------;6000 
9;7;6.71447e+09;------------;6000 
9;8;6.21072e+09;------------;6000 
9;9;6.07283e+09;------------;6000 
9;10;6.46604e+09;------------;6000 
10;1;6.44616e+09;------------;6000 
10;2;6.79423e+09;------------;6000 
10;3;6.73603e+09;------------;6000 
10;4;6.70731e+09;------------;6000 
10;5;6.8237e+09;------------;6000 
10;6;6.71447e+09;------------;6000 
10;7;6.42641e+09;------------;6000 
10;8;6.89853e+09;------------;6000 
10;9;6.86091e+09;------------;6000 
10;10;6.61562e+09;------------;6000 
11;1;6.99828e+09;------------;6000 
11;2;6.64356e+09;------------;6000 
11;3;6.72164e+09;------------;6000 
11;4;6.33581e+09;------------;6000 
11;5;6.84598e+09;------------;6000 
11;6;6.88343e+09;------------;6000 
11;7;6.94421e+09;------------;6000 
11;8;6.83111e+09;------------;6000 
11;9;6.69304e+09;------------;6000 
11;10;6.77959e+09;------------;6000 
12;1;6.4594e+09;------------;6000 
12;2;6.75774e+09;------------;6000 
12;3;6.73603e+09;------------;6000 
12;4;6.79423e+09;------------;6000 
12;5;6.65763e+09;------------;6000 
12;6;6.33581e+09;------------;6000 
12;7;6.5536e+09;------------;6000 
12;8;6.72164e+09;------------;6000 
12;9;6.69304e+09;------------;6000 
12;10;6.47269e+09;------------;6000 
13;1;6.87591e+09;------------;6000 
13;2;6.77229e+09;------------;6000 
13;3;6.45278e+09;------------;6000 
13;4;6.80894e+09;------------;6000 
13;5;6.92129e+09;------------;6000 
13;6;6.57414e+09;------------;6000 
13;7;6.22916e+09;------------;6000 
13;8;6.36787e+09;------------;6000 
13;9;6.18629e+09;------------;6000 
13;10;6.48604e+09;------------;6000 
14;1;6.83111e+09;------------;6000 
14;2;6.61562e+09;------------;6000 
14;3;6.83854e+09;------------;6000 
14;4;6.80157e+09;------------;6000 
14;5;6.65059e+09;------------;6000 
14;6;7.03742e+09;------------;6000 
14;7;6.83111e+09;------------;6000 
14;8;6.80894e+09;------------;6000 
14;9;6.86091e+09;------------;6000 
14;10;6.92129e+09;------------;6000 
15;1;7.03742e+09;------------;6000 
15;2;6.70017e+09;------------;6000 
15;3;6.58102e+09;------------;6000 
15;4;6.83854e+09;------------;6000 
15;5;6.61562e+09;------------;6000 
15;6;6.89853e+09;------------;6000 
15;7;6.89853e+09;------------;6000 
15;8;6.8684e+09;------------;6000 
15;9;6.68593e+09;------------;6000 
15;10;6.8237e+09;------------;6000 
16;1;6.83111e+09;------------;6000 
16;2;6.84598e+09;------------;6000 
16;3;6.84598e+09;------------;6000 
16;4;6.84598e+09;------------;6000 
16;5;6.77229e+09;------------;6000 
16;6;6.7869e+09;------------;6000 
16;7;6.93656e+09;------------;6000 
16;8;6.89097e+09;------------;6000 
16;9;6.80157e+09;------------;6000 
16;10;6.8684e+09;------------;6000 
1;1;1.21293e+09;------------;8000 
1;2;1.23489e+09;------------;8000 
1;3;1.22265e+09;------------;8000 
1;4;1.24239e+09;------------;8000 
1;5;1.23199e+09;------------;8000 
1;6;1.23489e+09;------------;8000 
1;7;1.22194e+09;------------;8000 
1;8;1.2358e+09;------------;8000 
1;9;1.23054e+09;------------;8000 
1;10;1.23854e+09;------------;8000 
2;1;2.39606e+09;------------;8000 
2;2;2.34778e+09;------------;8000 
2;3;2.43007e+09;------------;8000 
2;4;2.39333e+09;------------;8000 
2;5;2.34975e+09;------------;8000 
2;6;2.38856e+09;------------;8000 
2;7;2.38788e+09;------------;8000 
2;8;2.35437e+09;------------;8000 
2;9;2.38652e+09;------------;8000 
2;10;2.359e+09;------------;8000 
3;1;3.49817e+09;------------;8000 
3;2;3.49963e+09;------------;8000 
3;3;3.56507e+09;------------;8000 
3;4;3.49671e+09;------------;8000 
3;5;3.49089e+09;------------;8000 
