thread;rep;throughput;target_string;file_size 
15;7;6.74325e+09;------------;4000 
15;8;6.71089e+09;------------;4000 
15;9;6.5028e+09;------------;4000 
15;10;6.13202e+09;------------;4000 
16;1;6.52302e+09;------------;4000 
16;2;6.39376e+09;------------;4000 
16;3;6.44286e+09;------------;4000 
16;4;6.51289e+09;------------;4000 
16;5;6.43298e+09;------------;4000 
16;6;6.5536e+09;------------;4000 
16;7;6.74325e+09;------------;4000 
16;8;6.63656e+09;------------;4000 
16;9;6.5028e+09;------------;4000 
16;10;6.45278e+09;------------;4000 
1;1;1.21762e+09;------------;6000 
1;2;1.2312e+09;------------;6000 
1;3;1.2358e+09;------------;6000 
1;4;1.20873e+09;------------;6000 
1;5;1.20595e+09;------------;6000 
1;6;1.2188e+09;------------;6000 
1;7;1.2092e+09;------------;6000 
1;8;1.22952e+09;------------;6000 
1;9;1.21036e+09;------------;6000 
1;10;1.22022e+09;------------;6000 
2;1;2.37593e+09;------------;6000 
2;2;2.39219e+09;------------;6000 
2;3;2.37683e+09;------------;6000 
2;4;2.33536e+09;------------;6000 
2;5;2.37952e+09;------------;6000 
2;6;2.37862e+09;------------;6000 
2;7;2.36788e+09;------------;6000 
2;8;1.99792e+09;------------;6000 
2;9;2.38222e+09;------------;6000 
2;10;2.4004e+09;------------;6000 
3;1;3.51871e+09;------------;6000 
3;2;3.4875e+09;------------;6000 
3;3;3.49525e+09;------------;6000 
3;4;2.69096e+09;------------;6000 
3;5;3.40631e+09;------------;6000 
3;6;3.32003e+09;------------;6000 
3;7;3.19363e+09;------------;6000 
3;8;3.29914e+09;------------;6000 
3;9;3.30607e+09;------------;6000 
3;10;3.29396e+09;------------;6000 
4;1;4.16653e+09;------------;6000 
4;2;4.35094e+09;------------;6000 
4;3;4.27119e+09;------------;6000 
4;4;4.41816e+09;------------;6000 
4;5;4.4306e+09;------------;6000 
4;6;4.4027e+09;------------;6000 
4;7;4.41816e+09;------------;6000 
4;8;4.43998e+09;------------;6000 
4;9;4.4027e+09;------------;6000 
4;10;4.43373e+09;------------;6000 
5;1;5.01311e+09;------------;6000 
5;2;5.10256e+09;------------;6000 
5;3;5.10256e+09;------------;6000 
5;4;5.06558e+09;------------;6000 
5;5;4.90371e+09;------------;6000 
5;6;4.9152e+09;------------;6000 
5;7;4.56564e+09;------------;6000 
5;8;4.66034e+09;------------;6000 
5;9;5.04123e+09;------------;6000 
5;10;5.14849e+09;------------;6000 
6;1;5.60736e+09;------------;6000 
6;2;5.50916e+09;------------;6000 
6;3;5.22113e+09;------------;6000 
6;4;5.09842e+09;------------;6000 
6;5;5.41433e+09;------------;6000 
6;6;5.34533e+09;------------;6000 
6;7;5.38652e+09;------------;6000 
6;8;5.74562e+09;------------;6000 
6;9;5.69363e+09;------------;6000 
6;10;5.56766e+09;------------;6000 
7;1;5.69878e+09;------------;6000 
7;2;5.64256e+09;------------;6000 
7;3;5.86343e+09;------------;6000 
7;4;5.66288e+09;------------;6000 
7;5;5.2825e+09;------------;6000 
7;6;4.98926e+09;------------;6000 
7;7;4.92675e+09;------------;6000 
7;8;5.93534e+09;------------;6000 
7;9;5.47559e+09;------------;6000 
7;10;5.58248e+09;------------;6000 
8;1;5.48514e+09;------------;6000 
8;2;5.25602e+09;------------;6000 
8;3;5.44715e+09;------------;6000 
8;4;5.47083e+09;------------;6000 
8;5;5.69363e+09;------------;6000 
8;6;5.00116e+09;------------;6000 
8;7;5.17389e+09;------------;6000 
8;8;4.99719e+09;------------;6000 
8;9;5.18242e+09;------------;6000 
8;10;5.33174e+09;------------;6000 
9;1;5.50916e+09;------------;6000 
9;2;5.71431e+09;------------;6000 
9;3;5.59738e+09;------------;6000 
9;4;6.16205e+09;------------;6000 
9;5;5.85252e+09;------------;6000 
9;6;5.96912e+09;------------;6000 
9;7;5.76141e+09;------------;6000 
9;8;5.8964e+09;------------;6000 
9;9;4.91136e+09;------------;6000 
9;10;6.12009e+09;------------;6000 
10;1;5.98047e+09;------------;6000 
10;2;6.18629e+09;------------;6000 
10;3;6.31672e+09;------------;6000 
10;4;5.98047e+09;------------;6000 
10;5;6.22916e+09;------------;6000 
10;6;6.18021e+09;------------;6000 
10;7;6.10229e+09;------------;6000 
10;8;5.93534e+09;------------;6000 
10;9;5.93534e+09;------------;6000 
10;10;6.20459e+09;------------;6000 
11;1;6.35501e+09;------------;6000 
11;2;5.85797e+09;------------;6000 
11;3;6.43957e+09;------------;6000 
11;4;6.23534e+09;------------;6000 
11;5;5.83082e+09;------------;6000 
11;6;6.26639e+09;------------;6000 
11;7;6.10821e+09;------------;6000 
11;8;6.26639e+09;------------;6000 
11;9;6.10821e+09;------------;6000 
11;10;6.13801e+09;------------;6000 
12;1;6.10229e+09;------------;6000 
12;2;6.40026e+09;------------;6000 
12;3;5.93534e+09;------------;6000 
12;4;6.21072e+09;------------;6000 
12;5;6.04948e+09;------------;6000 
12;6;6.16809e+09;------------;6000 
12;7;6.17415e+09;------------;6000 
12;8;6.27264e+09;------------;6000 
12;9;5.88537e+09;------------;6000 
12;10;6.09637e+09;------------;6000 
13;1;6.18021e+09;------------;6000 
13;2;6.2789e+09;------------;6000 
13;3;6.10821e+09;------------;6000 
13;4;6.4594e+09;------------;6000 
