thread;rep;throughput;target_string;file_size 
15;7;2.10769e+10;------------;4000 
15;8;2.34319e+10;------------;4000 
15;9;2.33017e+10;------------;4000 
15;10;2.17321e+10;------------;4000 
16;1;1.85589e+10;------------;4000 
16;2;2.26719e+10;------------;4000 
16;3;2.36966e+10;------------;4000 
16;4;2.20753e+10;------------;4000 
16;5;1.95996e+10;------------;4000 
16;6;2.35635e+10;------------;4000 
16;7;2.03607e+10;------------;4000 
16;8;2.23101e+10;------------;4000 
16;9;1.99729e+10;------------;4000 
16;10;2.23101e+10;------------;4000 
1;1;3.44172e+09;------------;6000 
1;2;3.4137e+09;------------;6000 
1;3;3.37163e+09;------------;6000 
1;4;3.45874e+09;------------;6000 
1;5;3.6262e+09;------------;6000 
1;6;3.32705e+09;------------;6000 
1;7;3.61786e+09;------------;6000 
1;8;3.48557e+09;------------;6000 
1;9;3.43795e+09;------------;6000 
1;10;3.55048e+09;------------;6000 
2;1;6.84598e+09;------------;6000 
2;2;6.39376e+09;------------;6000 
2;3;6.34859e+09;------------;6000 
2;4;6.92892e+09;------------;6000 
2;5;6.84598e+09;------------;6000 
2;6;6.69304e+09;------------;6000 
2;7;6.64356e+09;------------;6000 
2;8;6.81631e+09;------------;6000 
2;9;6.86091e+09;------------;6000 
2;10;6.69304e+09;------------;6000 
3;1;1.01639e+10;------------;6000 
3;2;9.98644e+09;------------;6000 
3;3;1.00342e+10;------------;6000 
3;4;1.00663e+10;------------;6000 
3;5;9.26577e+09;------------;6000 
3;6;1.00182e+10;------------;6000 
3;7;9.7391e+09;------------;6000 
3;8;9.57604e+09;------------;6000 
3;9;9.69408e+09;------------;6000 
3;10;9.10486e+09;------------;6000 
4;1;1.19837e+10;------------;6000 
4;2;1.29721e+10;------------;6000 
4;3;1.27875e+10;------------;6000 
4;4;1.33294e+10;------------;6000 
4;5;1.30258e+10;------------;6000 
4;6;1.308e+10;------------;6000 
4;7;1.33012e+10;------------;6000 
4;8;1.30528e+10;------------;6000 
4;9;1.31072e+10;------------;6000 
4;10;1.271e+10;------------;6000 
5;1;1.48383e+10;------------;6000 
5;2;1.3501e+10;------------;6000 
5;3;1.37669e+10;------------;6000 
5;4;1.51601e+10;------------;6000 
5;5;1.56504e+10;------------;6000 
5;6;1.38884e+10;------------;6000 
5;7;1.51237e+10;------------;6000 
5;8;1.55345e+10;------------;6000 
5;9;1.47341e+10;------------;6000 
5;10;1.2483e+10;------------;6000 
6;1;1.74279e+10;------------;6000 
6;2;1.58875e+10;------------;6000 
6;3;1.67326e+10;------------;6000 
6;4;1.52335e+10;------------;6000 
6;5;1.73318e+10;------------;6000 
6;6;1.74279e+10;------------;6000 
6;7;1.47341e+10;------------;6000 
6;8;1.70963e+10;------------;6000 
6;9;1.72842e+10;------------;6000 
6;10;1.50154e+10;------------;6000 
7;1;1.53077e+10;------------;6000 
7;2;1.82891e+10;------------;6000 
7;3;1.72369e+10;------------;6000 
7;4;1.75249e+10;------------;6000 
7;5;1.80789e+10;------------;6000 
7;6;1.71898e+10;------------;6000 
7;7;1.77224e+10;------------;6000 
7;8;1.53077e+10;------------;6000 
7;9;1.71898e+10;------------;6000 
7;10;1.79244e+10;------------;6000 
8;1;1.85043e+10;------------;6000 
8;2;1.71898e+10;------------;6000 
8;3;1.90074e+10;------------;6000 
8;4;1.82891e+10;------------;6000 
8;5;1.54581e+10;------------;6000 
8;6;1.83424e+10;------------;6000 
8;7;1.76231e+10;------------;6000 
8;8;1.79244e+10;------------;6000 
8;9;1.72842e+10;------------;6000 
8;10;1.83961e+10;------------;6000 
9;1;1.83424e+10;------------;6000 
9;2;1.9123e+10;------------;6000 
9;3;1.70039e+10;------------;6000 
9;4;1.94782e+10;------------;6000 
9;5;1.94782e+10;------------;6000 
9;6;1.66882e+10;------------;6000 
9;7;1.82361e+10;------------;6000 
9;8;1.85589e+10;------------;6000 
9;9;1.78228e+10;------------;6000 
9;10;1.89502e+10;------------;6000 
10;1;1.80271e+10;------------;6000 
10;2;1.74279e+10;------------;6000 
10;3;1.80789e+10;------------;6000 
10;4;1.73797e+10;------------;6000 
10;5;1.87805e+10;------------;6000 
10;6;2.0295e+10;------------;6000 
10;7;1.99097e+10;------------;6000 
10;8;2.01005e+10;------------;6000 
10;9;1.75249e+10;------------;6000 
10;10;2.01005e+10;------------;6000 
11;1;1.74763e+10;------------;6000 
11;2;1.87805e+10;------------;6000 
11;3;1.97224e+10;------------;6000 
11;4;1.705e+10;------------;6000 
11;5;2.04933e+10;------------;6000 
11;6;1.93583e+10;------------;6000 
11;7;1.9065e+10;------------;6000 
11;8;2.00365e+10;------------;6000 
11;9;1.82361e+10;------------;6000 
11;10;1.705e+10;------------;6000 
12;1;1.87805e+10;------------;6000 
12;2;1.90074e+10;------------;6000 
12;3;1.79756e+10;------------;6000 
12;4;2.02298e+10;------------;6000 
12;5;2.0295e+10;------------;6000 
12;6;1.98469e+10;------------;6000 
12;7;1.85589e+10;------------;6000 
12;8;1.94181e+10;------------;6000 
12;9;2.04268e+10;------------;6000 
12;10;1.94181e+10;------------;6000 
13;1;1.93583e+10;------------;6000 
13;2;1.83961e+10;------------;6000 
13;3;1.86138e+10;------------;6000 
13;4;1.99097e+10;------------;6000 
13;5;1.9065e+10;------------;6000 
13;6;1.77725e+10;------------;6000 
13;7;1.89502e+10;------------;6000 
13;8;1.80271e+10;------------;6000 
13;9;1.98469e+10;------------;6000 
13;10;1.88367e+10;------------;6000 
14;1;1.91813e+10;------------;6000 
14;2;1.95996e+10;------------;6000 
14;3;1.92399e+10;------------;6000 
14;4;1.88367e+10;------------;6000 
14;5;1.83424e+10;------------;6000 
14;6;1.9065e+10;------------;6000 
14;7;1.98469e+10;------------;6000 
14;8;1.97224e+10;------------;6000 
14;9;1.87246e+10;------------;6000 
14;10;1.83424e+10;------------;6000 
15;1;1.94782e+10;------------;6000 
15;2;1.87805e+10;------------;6000 
15;3;1.74763e+10;------------;6000 
15;4;1.96608e+10;------------;6000 
15;5;2.01649e+10;------------;6000 
15;6;1.9123e+10;------------;6000 
15;7;1.93583e+10;------------;6000 
15;8;1.97845e+10;------------;6000 
15;9;2.06277e+10;------------;6000 
15;10;1.94181e+10;------------;6000 
16;1;1.89502e+10;------------;6000 
16;2;1.90074e+10;------------;6000 
16;3;1.99729e+10;------------;6000 
16;4;1.68672e+10;------------;6000 
16;5;1.97224e+10;------------;6000 
16;6;2.09018e+10;------------;6000 
16;7;2.02298e+10;------------;6000 
16;8;1.8669e+10;------------;6000 
16;9;2.01005e+10;------------;6000 
